rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
1,230068527,1,2634.26,8,299978,1982.4,41.3365,47,10.3915,6258,2.34713,3,24,0,0,11.6068,959.512,573.529,0.945748,242.798,68.0267,False,False,0,0.870259,False,3,,,repeating,False,12.5095,False,
2,230068527,2,2617.63,6,318346,1917.44,95.8354,36,10.3915,6258,2.34713,3,24,0,0,11.6068,959.512,573.529,0.945748,242.798,68.0267,False,False,0,0.870259,False,3,,,repeating,False,12.8868,False,
3,236771723,1,2619.3,4,316621,1685.89,55.665,24,11.3936,6495,1.85245,3,24,0,0,5.74896,238.322,928.819,0.992213,274.325,71.1467,False,False,2,1.46977,False,1,,,single,True,10.1432,False,B
4,160536110,1,2626.95,4,332298,1555.06,35.8364,24,11.2926,5666,1.48569,0.75,6,1,0,3.19094,5382.47,970.095,0.890779,241.634,77.0092,True,False,1,1.10233,False,6,,,repeating,False,8.33392,False,
5,356015357,1,2614.91,3,156119,1528.58,107.167,18,8.72318,7934,2.36075,3,24,0,0,9.11956,357.398,254.619,0.990824,254.309,68.5742,False,False,4,1.14101,False,4,,,repeating,False,9.07686,False,
6,356015357,2,2626.17,3,156114,1528.53,17.6657,18,8.72318,7934,2.36075,3,24,0,0,9.11956,357.398,254.619,0.990824,254.309,68.5742,False,False,3,1.14101,False,4,,,repeating,False,9.0767,False,
7,198239685,1,2629.13,6,263575,1456.69,88.6605,35,11.2781,5986,1.63089,3,24,0,0,8.48394,1102.44,900.996,0.950014,249.231,60.3969,False,False,0,0.754224,False,1,,,single,True,8.14768,False,B
8,160536110,2,2614.62,4,340131,1453.03,100,20,11.2926,5666,1.48569,0.75,6,1,0,3.19094,5382.47,970.095,0.890779,241.634,77.0092,False,False,0,1.10233,False,6,,,repeating,False,8.43157,False,
9,229776076,1,2630.92,2,392822,1451.36,113.337,12,9.3538,6418,2.81221,3,24,0,0,12.42,410.966,385.042,0.974872,282.747,69.8826,False,False,1,0.928276,False,6,,,repeating,False,17.1515,False,
10,229776076,2,2619.71,2,392591,1450.51,45.8309,12,9.3538,6418,2.81221,3,24,0,0,12.42,410.966,385.042,0.974872,282.747,69.8826,False,False,1,0.928276,False,6,,,repeating,False,17.1465,False,
11,198382838,1,2628.02,4,192987,1392.24,62.1606,24,9.94752,5180,1.32,2.5,20,1,0,4.11857,817.845,498.628,0.98229,257.532,58.4078,False,False,0,0.908937,False,1,,,single,True,5.64281,False,B
12,160536110,3,2633.85,2,386005,1379.75,51.1604,12,11.2926,5666,1.48569,0.75,6,1,0,3.19094,5382.47,970.095,0.890779,241.634,77.0092,False,False,0,1.10233,False,6,,,repeating,False,8.98218,False,
13,21003480,1,2615.77,4,340873,1341,128,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,0,1.48911,False,8,,,repeating,False,12.4241,False,
14,21003480,2,2621.19,4,339278,1334.73,10.3379,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,6,1.48911,False,8,,,repeating,False,12.395,False,
15,21003480,3,2618.48,4,338171,1330.37,75.3379,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,1,1.48911,False,8,,,repeating,False,12.3748,False,
16,21003480,4,2632.04,4,338070,1329.98,94.6781,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,2,1.48911,False,8,,,repeating,False,12.3729,False,
17,21003480,5,2626.61,4,337844,1329.09,28.494,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,True,False,2,1.48911,False,8,,,repeating,False,12.3688,False,
18,21003480,6,2613.06,4,337726,1328.62,63,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,0,1.48911,False,8,,,repeating,False,12.3666,False,
19,21003480,7,2629.33,4,334476,1315.84,93.6607,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,0,1.48911,False,8,,,repeating,False,12.307,False,
20,21003480,8,2634.75,4,334383,1315.47,29.5114,24,11.5615,6327,2.18681,0.5,4,1,1,2.71799,17320.6,1325.29,0.919762,272.739,51.6554,False,False,1,1.48911,False,8,,,repeating,False,12.3053,False,
21,229776076,3,2613.91,4,312846,1262.92,66.3333,24,9.3538,6418,2.81221,3,24,0,0,12.42,410.966,385.042,0.974872,282.747,69.8826,False,False,2,0.928276,False,6,,,repeating,False,15.3063,False,
22,198211503,1,2626.12,8,128866,1254.87,16.4968,48,10.4527,6120,2.01147,3,24,0,0,9.82113,303.48,573.458,0.998523,248.157,65.769,False,False,3,0.83158,False,2,,,single,True,7.02653,False,B
23,150395683,1,2631.93,2,281176,1192.19,97.3438,12,10.3398,5412.92,1.42701,3,24,0,0,10.7265,2839.51,532.341,0.998797,194.154,55.5844,False,False,1,1.04431,False,1,,,single,True,7.36332,False,B
24,165316140,1,2632.84,8,205043,1188.18,75.5077,48,11.4346,5377.78,1.00132,3,24,0,0,13.0245,671.613,968.38,0.99851,158.008,25.3627,False,False,0,1.19902,False,1,,,single,True,4.41217,False,B
25,229404545,1,2621.09,8,187233,1174.14,12.8308,48,10.8656,6763,2.4457,3,24,0,0,6.25689,460.971,729.665,0.963128,292.74,63.1008,False,False,1,1.66316,False,4,,,repeating,False,10.298,False,
26,229404545,2,2634.74,8,187164,1173.71,29.8283,48,10.8656,6763,2.4457,3,24,0,0,6.25689,460.971,729.665,0.963128,292.74,63.1008,False,False,1,1.66316,False,4,,,repeating,False,10.2961,False,
27,9339921,1,2634.43,8,337312,1171.15,37.3273,44,11.9674,6026.47,1.66026,3,24,0,0,13.0033,885.545,1374.75,0.963552,149.889,41.959,False,False,1,1.14101,False,2,,,single,True,9.38317,False,B
28,153949668,1,2627.62,12,146205,1163.84,52.5013,72,11.3574,6129,2.39123,3,24,0,0,12.7638,1030.19,1010.54,0.936972,172.74,65.9559,False,False,1,0.966954,False,1,,,single,True,8.89734,False,B
29,16220912,1,2616.49,6,263953,1142.26,123.336,36,11.655,5552.53,1.1969,3,24,0,0,13.0034,1080.27,1095.69,0.99787,153.515,36.5946,False,False,1,0.792902,False,1,,,single,True,5.98383,False,B
30,165432106,1,2635.32,4,285557,1117.48,16.0116,24,10.1727,5728,3.04895,0.5,4,1,1,3.43939,15160.9,633.275,0.995114,162.275,25.1403,True,False,2,0.5,False,10,,,repeating,False,15.8545,False,
31,165432106,2,2628.3,4,282076,1103.86,53.9897,24,10.1727,5728,3.04895,0.5,4,1,1,3.43939,15160.9,633.275,0.995114,162.275,25.1403,False,False,0,0.5,False,10,,,repeating,False,15.7576,False,
32,229404545,3,2627.91,8,171258,1073.96,45.5036,48,10.8656,6763,2.4457,3,24,0,0,6.25689,460.971,729.665,0.963128,292.74,63.1008,False,False,0,1.66316,False,4,,,repeating,False,9.84885,False,
33,236967242,1,2633.61,1.5,395094,1057.93,56.9899,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,False,False,2,1.50845,False,10,,,repeating,False,12.0513,False,
34,236967242,2,2629.7,1.5,394792,1057.12,88.5068,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,False,False,0,1.50845,False,10,,,repeating,False,12.0467,False,
35,236967242,3,2617.97,1.5,393233,1052.94,87.4952,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,False,False,2,1.50845,False,10,,,repeating,False,12.0229,False,
36,236967242,4,2614.07,1.5,392697,1051.51,74.6667,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,False,False,3,1.50845,False,10,,,repeating,False,12.0147,False,
37,453447502,1,2627.63,4,201002,1038.11,34.5035,24,10.4442,6690.31,1.71295,3,24,0,0,12.7498,931.989,599.395,0.959628,148.331,49.2979,False,False,2,0.5,False,4,,,repeating,False,7.47312,False,
38,229404545,4,2614.26,8,169100,1038.11,79.3333,46,10.8656,6763,2.4457,3,24,0,0,6.25689,460.971,729.665,0.963128,292.74,63.1008,True,False,1,1.66316,False,4,,,repeating,False,9.78663,False,
39,453447502,2,2617.29,4,200861,1037.39,104.165,24,10.4442,6690.31,1.71295,3,24,0,0,12.7498,931.989,599.395,0.959628,148.331,49.2979,False,False,0,0.5,False,4,,,repeating,False,7.47051,False,
40,230023944,1,2627.37,8,143089,1033.98,22.8373,48,11.0135,5636,2.40642,3,24,0,0,6.4802,392.75,724.026,0.988232,291.921,65.1313,True,False,2,1.66316,False,2,,,repeating,False,8.85794,False,
41,165432106,3,2614.36,4,256713,1004.61,108.167,24,10.1727,5728,3.04895,0.5,4,1,1,3.43939,15160.9,633.275,0.995114,162.275,25.1403,True,False,1,0.5,False,10,,,repeating,False,15.0325,False,
42,9339921,2,2612.4,3,385548,947.803,58.1667,18,11.9674,6026.47,1.66026,3,24,0,0,13.0033,885.545,1374.75,0.963552,149.889,41.959,False,False,2,1.14101,False,2,,,secondary,False,10.0317,False,
43,165432106,4,2621.27,4,238562,933.574,4.84198,24,10.1727,5728,3.04895,0.5,4,1,1,3.43939,15160.9,633.275,0.995114,162.275,25.1403,True,False,0,0.5,False,10,,,repeating,False,14.4913,False,
44,233625771,1,2631.23,6,156669,904.254,113.999,35,10.3858,6369,2.65561,3,24,0,0,4.29956,408.037,564.129,0.9838,284.406,62.4192,False,False,1,2.24333,False,2,,,repeating,False,10.2285,False,
45,236967242,5,2635.57,1.5,334969,896.931,9.98991,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,True,False,1,1.50845,False,10,,,repeating,False,11.0965,False,
46,236967242,6,2631.66,1.5,334842,896.593,103.823,9,10.4476,6337,1.97028,0.75,6,1,0,1.9863,1994.94,642.025,0.977331,304.728,63.2635,False,False,0,1.50845,False,10,,,repeating,False,11.0944,False,
