tmag_bin,duration_h,depth_lo,n,frac
"(12, 13]",8,1e+04,73,0.9863
"(12, 13]",16,316,3,0
"(12, 13]",16,562,47,0
"(12, 13]",16,1000,50,0.1
"(12, 13]",16,1778,60,0.65
"(12, 13]",16,3162,63,0.9365
"(12, 13]",16,5623,65,1
"(12, 13]",16,1e+04,28,1
"(12, 13]",16,3.162e+04,1,1
"(12, 13]",24,100,2,0
"(12, 13]",24,316,20,0
"(12, 13]",24,562,51,0
"(12, 13]",24,1000,78,0.1795
"(12, 13]",24,1778,63,0.7778
"(12, 13]",24,3162,60,0.9833
"(12, 13]",24,5623,62,1
"(12, 13]",24,1e+04,5,1
