tic,trial,t0,depth_ppm,duration_h,expected_snr,expected_snr_white,window_d,max_dur_h,long_limited,hf_variable,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,measured_snr
8884909,0,2626.76,1405.98,24,7.17288,9.77633,3,24,0,0,0,0,,,,2.57363
8884909,1,2626.97,4249.77,4,9.36877,12.0639,3,24,0,0,1,1,2626.99,4480.34,2,8.67917
8884909,2,2627.82,20144.2,4,44.4087,57.1837,3,24,0,0,1,1,2627.82,21165.7,3,47.2016
8884909,3,2628.77,21809,8,56.083,87.5532,3,24,0,0,1,1,2628.76,21343.1,6,55.4893
8884909,4,2626.87,3495.03,2,6.09904,7.01547,3,24,0,0,0,0,,,,3.54957
8884909,5,2633.99,20582,2,35.9169,41.3137,3,24,0,0,1,1,2633.99,21145.9,1.5,36.7649
8884909,6,2621.09,8680.18,8,22.3215,34.847,3,24,0,0,1,1,2621.09,8593.64,6,22.1419
8884909,7,2634.14,2689.94,16,9.01943,15.2719,3,24,0,0,0,0,,,,6.57741
8884909,8,2631.97,8796.85,1,11.5648,12.4859,3,24,0,0,1,1,2631.97,6921.4,1,10.024
8884909,9,2626.82,3377.35,8,8.68504,13.5585,3,24,0,0,0,0,,,,4.57889
8884909,10,2634.78,1174.14,16,3.9369,6.66607,3,24,0,0,0,0,,,,4.59964
8884909,11,2618.54,8342.96,2,14.559,16.7466,3,24,0,0,1,1,2618.54,8928.65,1.5,15.6367
8884909,12,2611.88,23618.5,2,41.2158,47.4088,3,24,0,0,1,1,2611.88,22729.8,1.5,40.1395
8884909,13,2612.7,8055.3,4,17.7582,22.8667,3,24,0,0,1,1,2612.71,8410.28,4,19.6754
8884909,14,2616.15,8883.54,4,19.5841,25.2178,3,24,0,0,1,1,2616.15,8693.38,3,18.7495
8884909,15,2626.43,9855.82,24,50.2814,68.5314,3,24,0,0,1,1,2626.65,8641.62,8,24.433
8884909,16,2614.01,15998.4,1,21.0323,22.7074,3,24,0,0,1,1,2614.02,13679.1,1,19.8345
8884909,17,2621.08,16961,4,37.3913,48.1475,3,24,0,0,1,1,2621.08,17037.8,3,37.373
8884909,18,2626.89,5175.96,8,13.3102,20.7791,3,24,0,0,1,1,2626.9,3842.13,6,9.8384
8884909,19,2621.15,1243.73,24,6.34511,8.64812,3,24,0,0,0,0,,,,5.23393
10074126,0,2631.47,2982.13,1,4.04683,3.95303,3,24,0,0,0,0,,,,4.3052
10074126,1,2621.6,1507.54,24,15.62,9.78986,3,24,0,0,0,0,,,,4.99106
10074126,2,2620.4,1863.95,8,8.44655,6.98847,3,24,0,0,1,1,2620.4,1851.85,8,8.96521
10074126,3,2629.27,12036.1,2,24.1193,22.5633,3,24,0,0,1,1,2629.26,10048,2,22.161
10074126,4,2627.81,4703.73,8,21.3151,17.6356,3,24,0,0,1,1,2627.83,4065.28,8,19.8243
10074126,5,2617.55,24154.8,2,48.4042,45.2816,3,24,0,0,1,1,2617.55,21626.5,2,47.3974
10074126,6,2635.08,1062.46,4,3.23381,2.81673,3,24,0,0,0,0,,,,4.4531
10074126,7,2634.73,3595.55,24,37.2545,23.3493,3,24,0,0,1,1,2634.74,3827.32,24,41.7912
10074126,8,2610.77,32164.1,1,43.6476,42.6358,3,24,0,0,1,1,2610.78,27041.6,1,40.7635
10074126,9,2630.9,5801.65,2,11.626,10.876,3,24,0,0,1,1,2630.9,5297.31,2,11.735
10074126,10,2617.73,5004.8,8,22.6795,18.7644,3,24,0,0,1,1,2617.73,4693.45,8,22.5107
10074126,11,2617.82,1060.7,24,10.9902,6.88813,3,24,0,0,0,0,,,,6.54894
10074126,12,2617.67,3681.85,8,16.6844,13.8043,3,24,0,0,1,1,2617.65,3298.77,8,15.8046
10074126,13,2628.15,3186.21,4,9.69788,8.44711,3,24,0,0,1,1,2628.15,2639.29,4,8.82153
10074126,14,2615.26,5173.1,8,23.4421,19.3954,3,24,0,0,1,1,2615.24,5337.88,6,21.9004
10074126,15,2629.48,4422.48,2,8.86227,8.29057,3,24,0,0,1,1,2629.51,3329.58,3,8.03941
10074126,16,2627.2,6145.72,16,40.4083,32.5864,3,24,0,0,1,1,2627.22,3699.48,24,39.7311
10074126,17,2618.62,3855.64,4,11.7354,10.2219,3,24,0,0,1,1,2618.63,3752.39,4,12.3389
10074126,18,2630.8,24187.9,1,32.8237,32.0628,3,24,0,0,1,1,2630.8,20707.1,1,31.1242
10074126,19,2614.48,1197.26,8,5.42545,4.48888,3,24,0,0,0,0,,,,4.01659
16183813,0,2633.7,1717.11,4,10.057,9.50376,3,24,0,0,1,1,2633.69,1839.31,3,10.5925
16183813,1,2615.51,1467.01,8,11.6681,11.4827,3,24,0,0,1,1,2615.53,1282.96,8,10.9518
16183813,2,2635.29,1510.67,1,4.26749,4.18059,3,24,0,0,0,0,,,,3.68016
16183813,3,2631.79,1153.21,24,18.8426,15.6344,3,24,0,0,1,1,2631.85,1105.68,24,17.7027
16183813,4,2626.87,1247.13,4,7.30441,6.90257,3,24,0,0,0,0,,,,6.14498
16183813,5,2634.7,3395.38,16,40.5931,37.5852,3,24,0,0,1,1,2634.71,3173.04,16,41.6395
16183813,6,2631.85,4988.49,2,21.0971,19.5233,3,24,0,0,1,1,2631.84,4920.8,2,22.9205
16183813,7,2629.13,2214.89,16,26.4798,24.5177,3,24,0,0,1,1,2629.15,2058.98,16,23.4016
16183813,8,2632.65,852.323,16,10.1898,9.43478,3,24,0,0,0,0,,,,6.23937
16183813,9,2618.84,2304.94,16,27.5564,25.5145,3,24,0,0,1,1,2618.85,2221.61,16,30.0266
16183813,10,2617.44,728.541,4,4.26703,4.03229,3,24,0,0,0,0,,,,3.14393
16183813,11,2628.33,2667.69,2,11.2821,10.4404,3,24,0,0,1,1,2628.34,2444.63,2,11.2965
16183813,12,2630.29,3159.99,24,51.6318,42.8409,3,24,0,0,1,1,2630.27,2928.43,24,50.174
16183813,13,2620.13,369.733,24,6.04116,5.01258,3,24,0,0,0,0,,,,4.31983
16183813,14,2616.15,1519.75,4,8.90113,8.41145,3,24,0,0,1,1,2616.16,1650.38,3,9.52502
16183813,15,2633.97,4038.68,16,48.2839,44.7061,3,24,0,0,1,1,2633.97,3563.3,16,42.5865
16183813,16,2633.25,866.422,4,5.0746,4.79543,3,24,0,0,0,0,,,,5.70273
16183813,17,2616.54,655.897,4,3.84156,3.63023,3,24,0,0,0,0,,,,5.53138
16183813,18,2613.89,1734.29,2,7.33458,6.78742,3,24,0,0,0,0,,,,6.65641
16183813,19,2635.97,1103.43,8,8.77629,8.6369,3,24,0,0,0,0,,,,0.28514
16779771,0,2621.18,1283.26,8,3.40168,4.10839,3,24,0,0,0,0,,,,5.45365
16779771,1,2632.86,1886.71,4,3.68288,4.27116,3,24,0,0,0,0,,,,3.85326
16779771,2,2610.71,22435.8,2,32.1518,35.9142,3,24,0,0,1,1,2610.72,21370.6,2,33.6728
16779771,3,2612.53,1286.93,8,3.4114,4.12013,3,24,0,0,0,0,,,,5.54693
16779771,4,2628.02,14981,8,39.7117,47.9618,3,24,0,0,1,1,2628.02,13432.9,8,38.5055
16779771,5,2633.22,4909.36,24,30.3369,27.2233,3,24,0,0,1,1,2633.2,4688.75,24,26.8661
16779771,6,2617.13,8200.97,1,8.8466,9.28272,3,24,0,0,1,1,2617.13,6841.24,1,8.17843
16779771,7,2616.02,1635.52,8,4.33544,5.23614,3,24,0,0,0,0,,,,3.6797
16779771,8,2635.86,511.692,24,3.16195,2.83743,3,24,0,0,0,0,,,,3.96614
16779771,9,2611.41,1596.93,4,3.11723,3.61516,3,24,0,0,0,0,,,,3.33785
16779771,10,2620.97,7964.54,8,21.1124,25.4986,3,24,0,0,1,1,2620.97,7764.71,8,22.3673
16779771,11,2632.22,21570.7,8,57.1796,69.0587,3,24,0,0,1,1,2632.21,21695.7,6,53.3955
16779771,12,2620.18,4652.82,8,12.3337,14.8961,3,24,0,0,1,1,2620.18,3950.13,8,11.049
16779771,13,2616.87,3322.11,24,20.5286,18.4217,3,24,0,0,1,1,2616.86,3010.18,24,17.6097
16779771,14,2615.7,1932.39,24,11.941,10.7155,3,24,0,0,0,0,,,,6.62015
16779771,15,2616.61,9949.92,2,14.2588,15.9274,3,24,0,0,1,1,2616.6,8426.86,2,13.3155
16779771,16,2610.9,1693.03,8,4.48788,5.42025,3,24,0,0,1,1,2610.93,2811.65,12,10.6118
16779771,17,2632.04,6134.18,8,16.2605,19.6387,3,24,0,0,1,1,2632.04,5694.38,8,15.6783
16779771,18,2629.57,2100.54,8,5.56811,6.7249,3,24,0,0,0,0,,,,5.65519
16779771,19,2629.87,3117.51,2,4.46757,4.99037,3,24,0,0,0,0,,,,5.64441
24004202,0,2619.22,3234.34,24,16.9521,16.5703,3,24,0,0,1,1,2619.26,2721.7,24,13.4373
24004202,1,2616.54,4068.05,16,15.4427,17.017,3,24,0,0,1,1,2616.54,3448.17,16,14.1032
24004202,2,2633.65,3315.38,8,7.65348,9.80655,3,24,0,0,0,0,,,,6.55344
24004202,3,2613.14,7729.5,24,40.5124,39.6,3,24,0,0,1,1,2613.17,6657.83,24,35.0609
24004202,4,2627.06,2216.58,4,3.8692,4.63609,3,24,0,0,0,0,,,,2.75505
24004202,5,2631.77,3028.8,1,3.10295,3.16744,3,24,0,0,0,0,,,,2.52665
