rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
2486,284896701,1,1892.83,3,59406.7,63.2233,118.49,6,12.8019,5945.59,1.27506,2,16,1,0,4.67665,2080.94,1528.28,0.922369,132.387,33.0344,False,False,0,1.57543,False,1,,,single,True,3.02417,False,B
2493,361975689,1,1896.47,2,34959.8,63.0622,30.9879,4,12.2568,6030.35,2.15999,3,24,0,0,13.6456,448.988,997.78,0.991895,132.836,43.6925,False,False,2,0.5,False,1,,,single,True,3.93001,False,B
2513,117295375,1,1893.8,1.5,45689.1,62.475,95.1576,3,12.4728,5137.77,0.875274,3,24,0,0,13.6456,569.209,1157.08,0.984506,131.23,26.5103,False,False,4,2.13808,False,1,,,single,True,1.82057,True,A
2542,166595318,1,1872.41,1.5,31419,61.752,0.332853,3,11.5955,7881,1.41186,3,24,0,0,13.4061,335.897,656.096,0.994376,135.846,32.7296,False,False,2,1.38788,True,1,,,single_partial,True,2.43526,False,B
2578,318209162,1,1891.85,2,17715.9,61.0118,141.993,4,10.5295,4661.56,0.732648,3,24,0,0,1.66411,155.986,454.546,0.813992,142.379,50.9646,False,False,1,0.99402,False,1,5746.01,5746.01,single,True,0.948931,True,A
2582,154091787,1,1874.37,4,21200.5,60.966,89.6666,7,12.0824,6367,2.04144,3,24,0,0,5.93304,246.186,878.928,0.887207,210.005,66.7309,False,False,0,0.5,False,1,,,single,True,2.89246,False,B
2583,126323784,1,1878.61,1,94759,60.8992,0.164532,2,12.5528,4808.39,0.779943,2.5,20,1,0,8.0269,3550.62,1277.63,0.991613,135.35,25.7418,False,False,1,2.71949,True,1,,,single_partial,True,2.33631,False,B
2630,230130556,1,1888.31,6,13513.1,59.7601,68.6655,12,10.8972,6509,1.818,3,24,0,0,9.68752,304.48,457.4,0.946208,251.681,70.0187,False,False,1,0.750204,False,1,,,single,True,2.0565,False,B
2647,239200346,1,1882.47,1.5,79480.1,59.0598,0.675097,3,12.8648,5793,1.36667,3,24,0,0,2.72921,700.604,1725.36,0.907201,148.716,21.094,False,False,5,2.5882,True,1,,,single_partial,True,3.7493,False,B
2650,366514799,1,1883.61,2,24773.2,58.9099,8.4932,4,11.619,6417,2.79683,3,24,0,0,3.47749,215.395,662.173,0.930198,302.091,68.7062,True,False,5,1.40663,False,1,,,single,True,4.28366,False,B
2655,341618372,1,1896.66,3,38425.9,58.6523,26.4864,6,12.7275,5872,1.60943,3,24,0,0,13.6455,529.309,1359.18,0.93808,155.755,79.603,False,False,1,0.675183,False,1,,,single,True,3.07002,False,B
2667,284898876,1,1892.74,1.5,16207.1,58.2603,120.658,3,10.7281,5583.7,1.37448,3,24,0,0,5.77437,168.94,402.466,0.958309,132.645,30.4645,False,False,1,2.32563,False,3,,,single,True,1.70274,True,A
2681,29155679,1,1887.34,1.5,51868.9,57.5559,8.33604,3,12.695,6658.64,1.50411,3,24,0,0,,343.923,1423.14,0.992194,135.102,42.848,False,False,1,0.843979,False,1,,,single,True,3.33342,False,B
2711,17238959,1,1890.21,3,12252.5,56.339,78.6617,6,10.9771,5941,2.55954,3,24,0,0,9.74706,175.955,513.78,0.998125,147.148,35.9922,False,False,3,1.31286,False,1,,,single,True,2.75697,False,B
2714,8746769,1,1882.06,1,45566.5,56.2905,0.336288,2,12.3927,5756.91,1.97908,3,24,0,0,,261.272,1074.36,0.994486,139.833,30.9045,False,False,1,1.01277,True,1,,,single_partial,True,4.11096,False,B
2730,117279808,1,1894.22,1.5,49567.1,55.7248,85.1575,3,12.8083,6033.55,1.15429,3,24,0,0,8.02685,417.719,1477.99,0.975297,131.114,26.476,False,False,1,2.19435,False,1,,,single,True,2.50074,False,B
2745,159189161,1,1892.69,1.5,27996.6,55.4024,121.68,3,12.0383,5515,1.26915,3,24,0,0,,167.626,831.271,0.994776,200.952,59.7827,False,False,0,0.5,False,1,,,single,True,2.06644,False,B
2781,229794069,1,1880.89,3,11297.8,54.4498,73.997,6,9.9388,6794,2.82507,3,24,0,0,13.354,240.495,304.406,0.989602,284.704,67.4915,False,False,2,1.44414,False,1,,,single,True,2.92203,False,B
2793,233744223,1,1878.49,4,14047.7,54.1853,131.499,8,11.7661,5962,1.89053,3,24,0,0,7.97792,180.823,720.548,0.921394,278.419,64.7551,False,False,0,1.2941,False,1,,,single,True,2.18044,False,B
