tmag_bin,duration_h,depth_lo,n,frac
"(10, 11]",24,100,6,0
"(10, 11]",24,316,9,0
"(10, 11]",24,562,6,0.3333
"(10, 11]",24,1000,13,0.9231
"(10, 11]",24,1778,10,1
"(10, 11]",24,3162,10,0.9
"(10, 11]",24,1e+04,5,1
"(11, 12]",1,1000,6,0
"(11, 12]",1,1778,40,0
"(11, 12]",1,3162,33,0.0303
"(11, 12]",1,5623,29,0.8276
"(11, 12]",1,1e+04,62,0.9516
"(11, 12]",1,3.162e+04,4,1
"(11, 12]",2,562,2,0
"(11, 12]",2,1000,36,0
"(11, 12]",2,1778,32,0.3438
"(11, 12]",2,3162,26,0.8462
"(11, 12]",2,5623,33,0.9394
"(11, 12]",2,1e+04,47,0.9787
"(11, 12]",4,562,8,0
"(11, 12]",4,1000,40,0.075
"(11, 12]",4,1778,28,0.6786
"(11, 12]",4,3162,34,1
"(11, 12]",4,5623,25,0.92
"(11, 12]",4,1e+04,39,1
"(11, 12]",8,316,5,0
"(11, 12]",8,562,30,0
"(11, 12]",8,1000,32,0.25
"(11, 12]",8,1778,35,0.8571
"(11, 12]",8,3162,41,0.9268
"(11, 12]",8,5623,35,1
"(11, 12]",8,1e+04,11,1
"(11, 12]",16,316,18,0
"(11, 12]",16,562,34,0
"(11, 12]",16,1000,28,0.5714
"(11, 12]",16,1778,34,0.9706
"(11, 12]",16,3162,33,0.9697
"(11, 12]",16,5623,32,1
"(11, 12]",16,1e+04,2,1
"(11, 12]",24,100,3,0
"(11, 12]",24,316,33,0
"(11, 12]",24,562,29,0.1034
"(11, 12]",24,1000,26,0.6923
"(11, 12]",24,1778,32,0.875
"(11, 12]",24,3162,35,0.9714
"(11, 12]",24,5623,6,1
"(11, 12]",24,1e+04,1,1
"(12, 13]",1,1778,21,0
"(12, 13]",1,3162,48,0
"(12, 13]",1,5623,62,0.03226
"(12, 13]",1,1e+04,123,0.7967
"(12, 13]",1,3.162e+04,60,1
"(12, 13]",2,1000,6,0
"(12, 13]",2,1778,38,0
"(12, 13]",2,3162,48,0.3333
"(12, 13]",2,5623,52,0.8846
"(12, 13]",2,1e+04,102,0.951
"(12, 13]",2,3.162e+04,24,1
"(12, 13]",4,1000,31,0
"(12, 13]",4,1778,42,0.1429
"(12, 13]",4,3162,48,0.6667
"(12, 13]",4,5623,65,1
"(12, 13]",4,1e+04,103,0.9709
"(12, 13]",4,3.162e+04,5,1
"(12, 13]",8,562,11,0
"(12, 13]",8,1000,50,0
"(12, 13]",8,1778,56,0.2857
"(12, 13]",8,3162,60,0.9
"(12, 13]",8,5623,63,1
"(12, 13]",8,1e+04,81,1
"(12, 13]",16,562,36,0
"(12, 13]",16,1000,48,0.1458
"(12, 13]",16,1778,60,0.5333
"(12, 13]",16,3162,80,0.925
"(12, 13]",16,5623,48,0.9792
"(12, 13]",16,1e+04,35,1
"(12, 13]",16,3.162e+04,1,1
"(12, 13]",24,100,1,0
"(12, 13]",24,316,7,0
"(12, 13]",24,562,42,0
"(12, 13]",24,1000,60,0.08333
"(12, 13]",24,1778,68,0.6765
"(12, 13]",24,3162,71,0.9577
"(12, 13]",24,5623,43,0.9767
"(12, 13]",24,1e+04,19,1
