tmag_bin,duration_h,depth_lo,n,frac
"(0, 10]",1,100,1,0
"(0, 10]",1,316,9,0
"(0, 10]",1,562,10,0.1
"(0, 10]",1,1000,16,0.0625
"(0, 10]",1,1778,15,0.6
"(0, 10]",1,3162,14,1
"(0, 10]",1,5623,5,1
"(0, 10]",1,1e+04,1,1
"(0, 10]",2,100,1,0
"(0, 10]",2,316,9,0.2222
"(0, 10]",2,562,11,0.2727
"(0, 10]",2,1000,7,1
"(0, 10]",2,1778,10,1
"(0, 10]",2,3162,7,0.5714
"(0, 10]",2,5623,4,0.75
"(0, 10]",4,100,4,0.25
"(0, 10]",4,316,14,0.1429
"(0, 10]",4,562,9,0.6667
"(0, 10]",4,1000,17,1
"(0, 10]",4,1778,10,1
"(0, 10]",4,3162,5,0.8
"(0, 10]",8,100,4,0
"(0, 10]",8,316,8,0.625
"(0, 10]",8,562,9,0.6667
"(0, 10]",8,1000,16,0.9375
"(0, 10]",8,1778,15,1
"(0, 10]",8,3162,6,1
"(0, 10]",16,100,13,0
"(0, 10]",16,316,12,0.4167
"(0, 10]",16,562,12,0.9167
"(0, 10]",16,1000,14,1
"(0, 10]",16,1778,12,1
"(0, 10]",16,3162,2,1
"(0, 10]",24,100,24,0
"(0, 10]",24,316,14,0.3571
"(0, 10]",24,562,5,1
"(0, 10]",24,1000,12,1
"(0, 10]",24,1778,2,1
"(0, 10]",24,3162,1,1
"(10, 11]",1,562,1,0
"(10, 11]",1,1000,7,0
"(10, 11]",1,1778,6,0
"(10, 11]",1,3162,14,0.4286
"(10, 11]",1,5623,15,0.9333
"(10, 11]",1,1e+04,14,1
"(10, 11]",1,3.162e+04,3,1
"(10, 11]",2,562,5,0
"(10, 11]",2,1000,10,0.3
"(10, 11]",2,1778,12,1
"(10, 11]",2,3162,10,0.8
"(10, 11]",2,5623,14,1
"(10, 11]",2,1e+04,3,1
"(10, 11]",2,3.162e+04,1,1
"(10, 11]",4,316,1,0
"(10, 11]",4,562,12,0
"(10, 11]",4,1000,11,0.5455
"(10, 11]",4,1778,12,1
"(10, 11]",4,3162,15,0.9333
"(10, 11]",4,5623,10,1
"(10, 11]",4,1e+04,4,1
"(10, 11]",4,3.162e+04,2,1
"(10, 11]",8,316,7,0
"(10, 11]",8,562,5,0
"(10, 11]",8,1000,11,0.8182
"(10, 11]",8,1778,13,0.9231
"(10, 11]",8,3162,11,1
"(10, 11]",8,5623,9,1
"(10, 11]",8,1e+04,3,1
"(10, 11]",16,100,2,0
"(10, 11]",16,316,9,0
"(10, 11]",16,562,11,0.4545
"(10, 11]",16,1000,12,1
"(10, 11]",16,1778,14,0.8571
"(10, 11]",16,3162,9,0.8889
"(10, 11]",16,1e+04,1,1
