rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
3,236771723,1,2619.3,4,316621,1685.89,55.665,24,11.3936,6495,1.85245,3,24,0,0,5.74896,238.322,928.819,0.992213,274.325,71.1467,False,False,2,1.46977,False,1,,,single,True,10.1432,False,B
7,198239685,1,2629.13,6,263575,1456.69,88.6605,35,11.2781,5986,1.63089,3,24,0,0,8.48394,1102.44,900.996,0.950014,249.231,60.3969,False,False,0,0.754224,False,1,,,single,True,8.14768,False,B
11,198382838,1,2628.02,4,192987,1392.24,62.1606,24,9.94752,5180,1.32,2.5,20,1,0,4.11857,817.845,498.628,0.98229,257.532,58.4078,False,False,0,0.908937,False,1,,,single,True,5.64281,False,B
22,198211503,1,2626.12,8,128866,1254.87,16.4968,48,10.4527,6120,2.01147,3,24,0,0,9.82113,303.48,573.458,0.998523,248.157,65.769,False,False,3,0.83158,False,2,,,single,True,7.02653,False,B
23,150395683,1,2631.93,2,281176,1192.19,97.3438,12,10.3398,5412.92,1.42701,3,24,0,0,10.7265,2839.51,532.341,0.998797,194.154,55.5844,False,False,1,1.04431,False,1,,,single,True,7.36332,False,B
24,165316140,1,2632.84,8,205043,1188.18,75.5077,48,11.4346,5377.78,1.00132,3,24,0,0,13.0245,671.613,968.38,0.99851,158.008,25.3627,False,False,0,1.19902,False,1,,,single,True,4.41217,False,B
27,9339921,1,2634.43,8,337312,1171.15,37.3273,44,11.9674,6026.47,1.66026,3,24,0,0,13.0033,885.545,1374.75,0.963552,149.889,41.959,False,False,1,1.14101,False,2,,,single,True,9.38317,False,B
28,153949668,1,2627.62,12,146205,1163.84,52.5013,72,11.3574,6129,2.39123,3,24,0,0,12.7638,1030.19,1010.54,0.936972,172.74,65.9559,False,False,1,0.966954,False,1,,,single,True,8.89734,False,B
29,16220912,1,2616.49,6,263953,1142.26,123.336,36,11.655,5552.53,1.1969,3,24,0,0,13.0034,1080.27,1095.69,0.99787,153.515,36.5946,False,False,1,0.792902,False,1,,,single,True,5.98383,False,B
72,125527530,1,2627.54,6,134013,747.528,31.3343,36,10.8947,5503.98,1.43165,3,24,0,0,5.21551,313.383,751.016,0.989339,144.596,29.3395,False,False,4,2.26267,False,1,,,single,True,5.09997,False,B
