toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
1131.01,198213332,PC,0.586037,410.524,0.809893,36,False,,
1167.01,232967666,FP,15.196,1970,1.792,2,False,,
1173.01,232967440,CP,7.0644,8268,2.424,4,True,repeating,36.1301
1174.01,154089169,CP,8.95348,1136,2.696,3,False,,
1176.01,230088370,PC,14.0078,5924.83,5.87275,2,True,repeating,18.4956
1178.01,359496368,FP,2.6652,819,3.49,8,False,,
1179.01,148914726,APC,1.26153,2841,1.039,17,False,,
1180.01,158002130,CP,9.68675,1669,2.512,3,False,,
1181.01,229510866,CP,2.10316,7142,5.059,10,True,repeating,28.9769
1182.01,341544930,FP,7.6416,6025,2.654,2,True,repeating,26.2366
1183.01,258777137,FP,5.92941,10226,2.933,4,True,repeating,19.2723
1184.01,233087860,CP,5.74844,1041,1.76,4,False,,
1186.01,289539327,FP,11.2465,7576,7.391,2,True,repeating,21.4273
1194.01,147950620,CP,2.31064,6911,1.294,9,True,repeating,26.7937
1199.01,99869022,CP,3.67147,4340,2.149,6,True,repeating,21.9732
1136.01,142276270,CP,12.5187,2320,5.38,1,True,repeating,9.76821
1136.02,142276270,CP,6.25861,813,3.201,4,False,,
1136.03,142276270,CP,26.3209,800,4.414,1,False,,
1136.04,142276270,CP,18.7955,470.673,4.34256,1,False,,
1140.01,320525204,FP,13.7431,5688,2.285,2,True,repeating,45.4926
1141.01,159510109,FP,16.9487,156468,4.28878,2,True,repeating,262.792
1148.01,349827430,KP,5.55149,9493,4.335,4,True,repeating,22.4074
1165.01,458478250,KP,2.25528,20820,2.05,10,True,repeating,49.7714
1200.01,288185138,FP,0.835241,2065,1.043,26,False,,
1259.01,288735205,CP,3.47798,27021.7,2.51035,6,True,repeating,59.6987
1260.01,355867695,CP,3.12746,1331.84,1.98127,6,False,,
1260.02,355867695,CP,7.49316,1650.65,1.93393,2,False,,
1260.03,355867695,CP,49.8252,2059.41,3.8715,1,False,,
1261.01,356311210,PC,18.0574,1198.06,3.59218,2,False,,
1262.01,365938305,CP,20.8774,771,3.562,2,False,,
1266.01,467179528,CP,10.8948,3168.39,2.07194,2,True,repeating,11.9541
1266.02,467179528,CP,18.8016,1686.79,1.90935,2,False,,
1268.01,142394656,CP,8.15772,10273,3.788,2,True,repeating,28.6371
1269.01,198241702,CP,4.25296,758.585,2.57339,5,False,,
1269.02,198241702,PC,9.23787,660,2.535,2,False,,
1273.01,445859771,CP,4.6313,4860,1.435,5,True,repeating,18.0366
1274.01,459969957,PC,19.3203,13910,4.215,1,True,single,43.086
1277.02,153949511,PC,14.856,1127,3.711,2,False,,
1279.01,224297258,CP,9.61416,933.653,3.42719,3,True,repeating,9.32768
1280.01,230017324,PC,9.69264,1838.24,3.01823,2,False,,
1242.01,198212955,PC,0.381485,570,0.565,56,True,single,10.0613
1245.01,229781583,CP,4.82045,1930,1.756,4,False,,
