rank,tic,rank_in_star,t0,duration_h,depth_ppm,snr,edge_dist_h,n_in,tmag,teff,radius,window_d,max_dur_h,long_limited,hf_variable,var_period_d,var_amp_ppm,sigma_pt_ppm,crowdsap,ra,dec,crowded_time_bin,common_mode,n_coincident,n_coincident_expected,partial,n_dips_star,toi_match,toi_host,category,candidate,rp_rjup,planet_sized,tier
8000,389964581,1,1883.66,6,3336.18,9.45603,5.83437,12,12.1948,6221,1.21835,3,24,0,0,,210.813,1063.1,0.862249,277.023,58.2539,True,False,1,1.70671,False,1,,,single,True,0.684785,True,B
8001,402897644,7,1873.36,3,5388.01,9.45366,65.5,6,11.6285,6286,1.81205,2,16,1,0,6.78111,2790,721.322,0.860367,302.943,67.1893,False,False,2,1.36912,False,8,,,secondary,False,1.29432,True,
8002,117277324,1,1880.77,3,1250.71,9.45031,26.4997,7,9.9847,6465.92,2.86007,3,24,0,0,,63.2289,257.33,0.993801,131.044,29.5865,False,False,0,2.60696,False,1,,,single,True,0.984265,True,A
8003,149366336,7,1881.71,1,162862,9.44787,54.3366,2,10.6901,6263.92,2.18606,1.5,12,1,1,0.609188,47051,9960.9,0.748857,138.969,25.3606,False,False,2,1.36912,False,10,,,repeating,False,8.58479,False,
8004,91896322,3,1876.65,4,44356.9,9.44756,143.667,7,11.9675,5636.34,1.19483,0.75,6,1,0,1.84896,11806.2,9017.2,0.971256,142.06,23.7825,False,False,4,2.71949,False,3,,,secondary,False,2.44875,False,
8005,233005764,5,1871.1,4,2505.97,9.44685,11.1667,5,10.9288,6142,1.72619,3,24,0,0,2.66953,198.548,432.108,0.974609,242.343,71.0963,True,False,0,0.543898,False,10,,,repeating,False,0.84088,True,
8006,188467241,1,1883.08,1,7374.48,9.44668,21.4988,2,12.0486,5407,1.16145,3,24,0,1,0.391974,750.928,925.992,0.974017,133.554,36.3779,False,False,2,1.25659,False,5,,,repeating,False,0.970563,True,
8007,288471108,9,1890.87,2,4358.58,9.4464,130.505,4,11.4495,6008,2.00471,0.5,4,1,0,1.55769,2538.31,616.438,0.98184,271.386,78.2413,False,False,0,1.12531,False,10,,,secondary,False,1.2879,True,
8008,328602589,1,1897.56,3,2696.09,9.4423,4.99101,6,11.0531,5179,0.847892,3,24,0,0,12.1873,344.02,536.484,0.967413,144.759,59.6249,True,False,1,0.5,False,1,,,single,True,0.428416,True,B
8009,264298590,1,1883.74,4,3432.25,9.44146,5.49425,8,11.5295,5508,0.822723,3,24,0,0,3.62324,366.432,721.288,0.759378,295.933,71.0705,True,False,2,0.862734,False,1,,,single,True,0.46903,True,B
8010,148910602,1,1897.04,12,344.292,9.43966,17.3352,24,8.6971,6322,1.37433,3,24,0,0,,33.3407,159.197,0.994726,185.861,68.0705,False,False,1,0.750204,False,1,,,single,True,0.248149,True,A
8011,165992260,4,1878.61,1.5,5413.05,9.43818,128.674,3,12.1516,5846,1.01163,3,24,0,0,9.09738,364.179,962.953,0.985372,211.346,63.4393,False,False,0,0.5,False,6,,,secondary,False,0.724269,True,
8012,302603553,1,1877.56,2,2732.53,9.43705,153.835,4,11.1746,6435.61,1.27347,3,24,0,0,,93.5278,526.98,0.954348,136.461,30.0123,False,False,3,1.36912,False,1,,,single,True,0.647782,True,A
8013,309998013,4,1875.02,1,360600,9.43462,104.667,2,11.6906,4718,1.08968,1.5,12,1,1,0.639246,34408.8,19050.3,0.99553,214.074,76.2111,False,False,2,0.5,False,10,,,repeating,False,6.36751,False,
8014,356896550,1,1871.04,1,60526.1,9.43421,9.66667,2,9.8832,5926,3.73085,0.5,4,1,1,0.948438,30739.3,3061.92,0.979114,273.12,54.7814,True,False,1,1.74422,False,1,,,single,False,8.93175,False,
8015,284992911,4,1882.88,1,1404.71,9.433,26.3355,2,5.3497,5641.14,2.0264,3,24,0,0,8.96524,346.3,86.8555,0.99489,137.197,26.6291,False,False,2,2.10057,False,4,,,secondary,False,0.739053,True,
8016,56912673,1,1885.66,12,1322.67,9.43293,12.0012,24,11.5678,5443,1.24595,3,24,0,0,6.82283,217.95,736.354,0.82907,139.344,47.6433,False,False,0,0.600163,False,1,,,single,True,0.440944,True,A
8017,149366336,8,1881.11,1,162592,9.4322,68.8366,2,10.6901,6263.92,2.18606,1.5,12,1,1,0.609188,47051,9960.9,0.748857,138.969,25.3606,False,False,2,1.36912,False,10,,,repeating,False,8.57767,False,
8018,117419174,1,1876.79,3,100652,9.43,147.667,6,11.5756,5720,1.86446,1,8,1,0,2.31284,17810.5,15600.3,0.989768,137.781,25.8448,False,False,5,2.06306,False,1,,,single,True,5.75602,False,B
8019,166553818,1,1875.61,1.5,8155.5,9.42808,103.833,3,12.8198,3991.2,0.795238,3,24,0,0,,275.705,1380.18,0.986971,134.801,31.4476,False,False,2,1.68796,False,1,,,single,True,0.698844,True,A
8020,356348441,1,1871.06,2,3654.79,9.42643,6.66667,3,10.1281,7576,2.1018,3,24,0,1,0.0461191,894.442,2015.69,0.964157,268.72,51.2026,True,False,3,0.5,False,1,,,single,False,1.23646,True,
8021,456309203,1,1885.72,8,4766.77,9.42575,8.00374,16,12.6664,5954.77,1.27787,3,24,0,0,2.84283,505.434,1615.79,0.923248,134.012,49.8302,False,False,1,0.581408,False,1,,,single,True,0.858532,True,A
8022,356980461,1,1886.45,12,1253.62,9.42257,16.1646,24,11.9552,5711.68,1.76692,3,24,0,0,,116.941,750.587,0.985363,273.927,58.3302,False,False,2,1.05029,False,1,,,single,True,0.608776,True,A
8023,459761944,3,1883.29,16,16756.2,9.41957,16.4966,31,9.6503,5498,0.8867,2.5,20,1,0,8.52196,6686.82,2664.44,0.394289,134.858,53.9715,False,False,0,0.5,False,3,,,secondary,False,1.11692,True,
