toi,tic,disp,period_d,depth_ppm,dur_h,n_pred,recovered,category,snr
1347.02,229747848,CP,4.84204,318.664,2.41056,6,False,,
1348.01,229770036,FP,2.14035,435.365,2.74141,12,False,,
1349.01,272635712,APC,12.7167,388.126,2.529,2,False,,
1363.01,230017325,FP,9.69265,1393,2.819,2,False,,
1418.01,224600500,FA,0.676323,30.1618,4.91646,36,False,,
1434.01,138588540,PC,29.8719,712.567,4.69605,1,True,single,7.14244
1437.01,198356533,CP,18.8409,331,5.765,1,False,,
1438.01,229650439,CP,5.13967,769.6,0.899198,4,False,,
1438.02,229650439,CP,9.42809,799,1.377,3,False,,
1439.01,232982558,CP,27.6439,560,5.321,1,False,,
1442.01,235683377,CP,0.409068,1281.23,0.616573,61,False,,
1445.01,259172391,PC,9.81307,630,3.91,2,False,,
1445.02,259172391,PC,4.78421,390,2.947,4,False,,
1447.01,298073824,FA,1.22731,66.4148,4.81148,20,False,,
1486.01,233541860,FP,0.266649,230,1.075,93,False,,
1488.01,198457103,FA,0.472105,45.2185,1.69955,53,False,,
1450.01,377293776,CP,2.04393,465.193,1.00894,13,False,,
1451.01,417931607,CP,16.538,608,2.796,2,True,repeating,7.74264
1452.01,420112589,CP,11.062,3249.12,1.75878,2,False,,
1453.01,198390247,CP,6.58869,852,1.678,4,False,,
1453.02,198390247,CP,4.31353,274,1.874,5,False,,
1464.01,229944666,PC,11.3125,861.727,2.5943,3,False,,
1465.01,236887394,KP,1.42002,23730,1.431,17,True,repeating,32.3836
1555.01,441732151,FP,2.09989,27336.4,0.908,12,True,repeating,14.0019
1609.01,229951289,FA,13.3118,750,4.492,2,False,,
1610.01,219776325,PC,2.5288,387,1.286,9,False,,
1633.01,165551882,FA,12.1583,3430.78,2.14068,2,False,,
1642.01,229940491,APC,37.4591,6301.14,2.9417,1,True,single,19.2225
1643.01,298647682,PC,20.0795,1065.54,1.21866,2,False,,
1647.01,154927364,FP,6.97442,9189,2.124,2,True,repeating,17.6239
1652.01,154867950,FP,0.666488,233.104,1.38,37,False,,
1664.01,353782445,PC,11.8351,336,2.094,2,False,,
1670.01,441739020,CP,40.7501,6026,4.873,1,True,single,34.3839
1670.02,441739020,CP,10.9837,315,2.636,2,False,,
1719.01,293617835,PC,2.75526,338,1.17,10,False,,
1737.01,233009109,PC,14.448,218,6.353,2,False,,
1739.01,159418353,CP,8.30335,571,1.705,2,False,,
1689.01,198384408,FA,9.12381,283.324,5.11884,3,False,,
1692.01,288636342,PC,17.7287,1086.46,6.44279,2,True,secondary,10.4252
1692.02,288636342,PC,32.208,2409.29,7.51996,1,True,single,21.9018
1706.01,230377505,PC,4.51561,449,2.628,4,False,,
1706.02,230377505,PC,7.40578,325,2.778,4,False,,
1760.01,420112587,FP,11.0619,3996.62,1.71335,2,False,,
1761.01,424391516,PC,11.5923,373.163,3.48689,2,False,,
1763.01,441739871,PC,3.79787,1501.08,1.0637,7,False,,
1764.01,1551345500,PC,47.3861,19550,1.81,1,True,single,21.913
1765.01,272672133,PC,3.49396,3650,1.961,8,True,repeating,9.41577
1766.01,67666096,KP,2.70339,10340,2.927,10,True,repeating,44.7886
1767.01,8767448,KP,4.35323,10270,3.869,5,True,repeating,48.6095
1768.01,137906197,CP,7.33772,795,4.243,4,True,single,7.99317
1769.01,287225295,APC,0.609755,670,0.416,41,False,,
1770.01,457138169,FP,1.09245,874.58,1.22458,22,False,,
1771.01,252479260,KP,3.21223,14429,2.653,8,True,repeating,64.3218
1772.01,85293053,CP,8.05422,706.817,3.02872,4,False,,
1773.01,332064670,KP,0.736546,384.673,1.57322,34,True,repeating,8.00319
1774.01,4897275,CP,16.71,615.287,5.40047,2,False,,
1775.01,9348006,CP,10.2405,9950,3.538,2,True,repeating,23.8854
1776.01,21535395,CP,2.80099,204.855,1.49854,10,False,,
1777.01,29191624,CP,14.6504,330,2.08,2,False,,
1778.01,39699648,CP,6.52739,415.431,3.11907,4,False,,
1779.01,67646988,KP,1.88172,99270,1.236,13,True,repeating,61.6189
1780.01,99834717,KP,1.70633,10980,1.359,16,True,repeating,16.2158
1781.01,137881699,KP,2.97208,6440,4.41,8,True,repeating,16.3104
1782.01,160045097,CP,4.98771,1192.34,2.27691,5,False,,
1741.01,198206613,PC,10.9407,440,2.175,2,False,,
1742.01,219857012,CP,21.269,350,5.893,2,True,single,8.47517
1743.01,219860288,CP,4.26606,1700,0.69,6,False,,
