key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
358617224_1897.5100,358617224,1897.51,B,7581,10.2872,4297.56,4,11.5181,0.88624,1.012,177.41121,79.08268,True,False,,ok,False,False,-10.332705,-3.9951368,ramp,1897.492,0.048709093,0.49695651,0.95105159,1703.2339,True,True,False,2.280926,,grazing,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.9951368,-10.332705,-7.9225245,-7.6905248
458421240_1886.5000,458421240,1886.5,B,7582,10.2857,765.166,24,11.2528,1.04236,0.921,170.88698,50.2457,True,False,,ok,False,False,3.5395303,-0.86801731,flare_decay,1886.4142,0.043482635,34.290089,0.96023212,1288.6302,True,True,False,2.7547213,4824.9744,,True,True,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-0.86801731,25.604674,4.7042267,3.5395303
3908579_1896.9600,3908579,1896.96,B,7589,10.2764,2523.17,16,12.1753,0.920522,1.03,151.67394,24.778063,True,False,,ok,True,False,10.424743,-9.5114181,step,1896.9546,0.046102219,17.737916,0.0026695103,2575.7083,False,True,False,2.3494425,1076.3606,,True,False,True,True,True,ok,True,True,1.301348,0.85518047,True,,,2.4619483,True,True,,0,13.373173,True,,True,False,False,False,False,,,,ok,False,0.92745204,0.92734378,26.480383,1076.3606,0,-9.5114181,105.00143,10.424743,20.556583
311629652_1896.9600,311629652,1896.96,B,7594,10.2675,425.648,16,8.56775,1.66475,1.957,160.26449,48.572805,True,False,,ok,True,True,24.928722,-0.85503114,flare_decay,1896.9272,0.020800264,18.628321,0.41969312,503.90081,False,True,False,3.3481047,430.99725,,True,False,True,False,True,ok,False,False,3.2620505,8.7707751,True,0.16903671,10.961519,8.2264643,False,True,,1,33.493103,True,,True,False,False,False,False,,,,not run,,,,,,0,-0.85503114,95.051829,27.941797,24.928722
459787726_1871.2300,459787726,1871.23,B,7601,10.2545,2588.39,4,11.3979,1.70731,1.1,144.37793,59.436735,True,False,,ok,False,False,-6.1505564,-2.7357112,step,1871.0633,0.037190915,11.483049,0.0012112154,1676.33,False,True,False,4.2282671,50.131211,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.7357112,-4.3900152,-6.1505564,-4.2952901
445812358_1882.9200,445812358,1882.92,B,7602,10.2538,3033.06,3,11.7676,1.47877,1.02,171.91148,49.537219,True,False,,ok,False,False,8.8934894,0.26232251,flare_decay,1882.908,0.056726268,2.3696991,0.051585702,3897.1028,False,False,False,3.8260013,0.49935328,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,0.26232251,39.425528,11.428675,8.8934894
137732616_1871.0500,137732616,1871.05,B,7605,10.2474,2697.9,1.5,9.344,0.735954,0.85,174.20682,55.413848,True,False,,ok,False,False,-10.032342,-3.0686143,flare_decay,1871.0194,0.017903388,0.61675592,0.44249166,371.42177,False,False,False,1.9484913,0.050492343,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-3.0686143,-8.1058437,-6.7201515,-10.032342
188504714_1894.1600,188504714,1894.16,B,7615,10.2283,3928.84,8,12.6587,1.3975,1.08,134.14758,40.485518,True,False,,ok,False,False,6.0669192,-8.2908605,flare_decay,1894.1629,0.069012589,7.5119909,0.00014690261,5770.2606,False,True,False,3.5885603,22.938998,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-8.2908605,28.384417,14.288549,6.0669192
420128682_1883.7000,420128682,1883.7,B,7635,10.1983,2494.3,6,11.0565,1.81958,1.2,290.61138,75.727381,True,False,,ok,False,False,-8.4704774,-2.7207172,ramp,1884.2031,0.41241709,32.216828,1.3588197,2470.6218,True,True,False,5.9641528,395.23322,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.7207172,-8.4704774,3.591931,0.16956508
417839594_1896.4700,417839594,1896.47,B,7637,10.1956,3187.81,8,11.5903,0.298851,0.275307,147.35586,65.139895,True,False,,ok,False,False,-44.865393,7.1754666,step,1896.4764,0.061724181,16.518772,0.92689191,2967.3904,True,True,False,1.2016529,6495.1606,,True,True,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,7.1754666,78.352295,-44.865393,-27.147941
219807735_1897.5200,219807735,1897.52,B,7641,10.1929,2167.12,6,9.8614,1.19017,1.029,266.6175,61.196462,True,False,,ok,False,False,-6.2051498,-2.4674802,step,1897.992,0.030061355,35.999999,0.69330723,951.27822,False,True,False,2.9923461,4356.5724,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.4674802,-3.3912147,-6.2051498,-6.1595672
126236473_1897.6000,126236473,1897.6,B,7650,10.1673,7028,1,7.7657,0.83188,0.95,133.45809,26.913244,True,False,,ok,False,False,-11.092175,15.324599,step,1897.5188,0.016824037,5.7811894,0.0008209815,343.07898,False,True,False,2.1200926,50.704624,,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,15.324599,20.54865,-11.092175,-6.5855698
21507976_1871.2700,21507976,1871.27,B,7653,10.1605,7961.03,6,12.7164,0.802425,0.677,132.97581,47.634658,True,False,,ok,False,False,-4.1546178,-2.4302918,step,1871.0789,0.15309263,6.5089987,1.0554072,4209.0389,True,True,False,2.596509,39.399211,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.4302918,-1.5455628,-4.1546178,-3.0405353
272745729_1871.0500,272745729,1871.05,B,7654,10.1574,51591.6,1.5,12.9626,1.3069,1.05,235.70452,68.052673,True,False,,ok,False,False,-219.7932,-53.821578,ramp,1870.9223,0.036402168,0.53009164,0.97073454,830.65121,True,True,False,3.2840402,,grazing,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-53.821578,-219.7932,-170.65578,-161.54095
353968441_1891.5900,353968441,1891.59,B,7657,10.1562,8634.97,1.5,12.636,1.18907,0.99,157.87481,37.82536,True,False,,ok,False,False,-5.0001603,17.559442,flare_decay,1891.5554,0.39958163,5.0119482,1.2581482,12032.67,True,True,False,4.1156442,4.496931,,False,,,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,17.559442,97.494089,52.843441,-5.0001603
307989910_1892.5700,307989910,1892.57,B,7660,10.1503,10276,1.5,12.7931,1.92853,0.94,149.60034,24.069477,True,False,,ok,False,False,8.4552116,7.9184637,flare_decay,1892.5702,0.39616992,2.2198432,1.2378723,14433.883,True,True,False,6.780466,0.132496,grazing,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,7.9184637,98.509436,71.794504,8.4552116
233634401_1892.0300,233634401,1892.03,B,7668,10.1396,7833.57,1.5,12.6885,0.832583,0.89,145.86651,28.066557,True,False,,ok,False,False,0.014377396,3.3147182,flare_decay,1892.0338,0.090539791,1.4996394,1.7984296e-07,9928.1373,False,False,False,2.3258049,0.64478388,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,3.3147182,77.393817,82.097874,0.014377396
39733489_1896.9600,39733489,1896.96,B,7672,10.1376,474.433,16,6.815,1.38732,1.22,154.25369,47.308448,True,False,,ok,True,False,60.433646,-20.865019,flare_decay,1896.9462,0.021981174,17.619424,0.030088353,585.52807,False,True,False,3.2698865,391.47832,,True,False,True,False,True,ok,False,False,3.2874808,7.7716369,True,0.36520757,27.987906,9.4685318,False,True,,0,33.327165,True,,True,False,False,False,False,,,,not run,,,,,,0,-20.865019,210.36855,66.977916,60.433646
172534443_1874.5200,172534443,1874.52,B,7674,10.1329,7725.12,2,12.43,2.4135,1,143.34009,25.965482,True,False,,ok,True,True,13.131152,0.97961111,step,1874.5201,0.081488026,2.4783974,7.4281303e-05,8043.4884,False,False,False,6.4379904,0.19097125,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,0.97961111,69.873092,13.131152,21.323901
332144509_1893.1400,332144509,1893.14,B,7683,10.1095,2367.86,3,11.0004,1.66178,1,129.86496,35.459579,True,False,,ok,False,False,9.6057127,1.9489559,flare_decay,1893.1782,0.054953142,2.2905346,0.20661457,3627.18,False,False,False,4.3212107,0.18093494,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,1.9489559,66.153563,33.420146,9.6057127
149363465_1896.9300,149363465,1896.93,B,7685,10.1061,3136.38,16,12.9477,0.797301,0.93,138.71502,28.504564,True,False,,ok,False,False,4.3159873,-4.8808543,step,1896.9142,0.051476079,17.88692,0.00077623182,3211.0103,False,True,False,2.1161676,1510.298,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-4.8808543,32.641242,4.3159873,6.3228677
