TIC ID,Sector,Transit Epoch (BJD),Transit Epoch error (d),Period (days),Period note,Depth (ppm),Depth error (ppm),Duration (hrs),Duration error (hrs),Planet Radius (R_Earth),Impact parameter,"Stellar radius (R_Sun, TIC)",Tmag,RUWE,Notes
361977189,21,2458896.91146,0.00976,0,"all P > 739 d allowed (longer than TESS's span around the event); 79 allowed windows below that, e.g. 27.9-27.9, 28.4-28.5, 29.7-29.7, 34.5-34.5, 36.3-36.5 d; duration implies P >= 71 d for a central circular orbit",1707,153,19.03,3.41,13.2,0.58,2.934,9.58,0.93508196,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (step) by dBIC 154; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.003. Not a flux step: the in-transit level is below both local baselines in tesscut, tess-spoc (Phase 4). confirmed in qlp (depth ratio nan, SNR nan)"
285082902,21,2458887.49455,0.00835,0,"all P > 719 d allowed (longer than TESS's span around the event); 67 allowed windows below that, e.g. 16.8-16.9, 17.2-17.3, 17.6-17.7, 18.1-18.2, 18.6-18.7 d; duration implies P >= 387 d for a central circular orbit",2043,185,15.75,2.85,5.6,0.0,1.144,11.96,0.9389016,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (step) by dBIC 12; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.005. Not a flux step: the in-transit level is below both local baselines in tesscut, tess-spoc (Phase 4). confirmed in qlp (depth ratio nan, SNR nan)"
219116234,21,2458876.28145,0.01116,0,"all P > 1708 d allowed (longer than TESS's span around the event); 167 allowed windows below that, e.g. 146.7-146.7, 163.0-163.2, 163.6-163.7, 163.9-164.0, 164.3-164.5 d; duration implies P >= 3073 d for a central circular orbit; periods consistent with the second dip(s): 1695.09, 339.02 d",2313,165,24.94,3.57,4.5,0.72,0.851,12.35,1.2872477,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (step) by dBIC 11; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.006. Not a flux step: the in-transit level is below both local baselines in qlp, tesscut, tess-spoc (Phase 4). confirmed in qlp (depth ratio 0.94, SNR 8.7); second transit candidate(s) in sector(s) 83 (partial); periods consistent with all: 1695.09, 339.02 d"
284625888,21,2458887.21873,0.00749,0,"all P > 1480 d allowed (longer than TESS's span around the event); 61 allowed windows below that, e.g. 40.8-40.8, 44.0-44.2, 47.5-47.6, 47.8-48.1, 58.7-59.0 d; duration implies P >= 361 d for a central circular orbit",2607,250,12.62,2.42,5.0,0.0,0.901,12.36,1.0326804,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (flare_decay) by dBIC 16; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.008. Not a flux step: the in-transit level is below both local baselines in qlp, tesscut, tess-spoc (Phase 4). confirmed in qlp (depth ratio 1.17, SNR 9.8)"
1044288,21,2458876.15862,0.00474,0,"all P > 760 d allowed (longer than TESS's span around the event); 62 allowed windows below that, e.g. 21.9-22.1, 22.6-22.7, 23.3-23.4, 24.0-24.2, 24.9-25.0 d; duration implies P >= 29 d for a central circular orbit",4879,640,4.6,1.21,5.0,0.9,0.661,12.53,0.97666395,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (flare_decay) by dBIC 10; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.026. Not a flux step: the in-transit level is below both local baselines in tesscut, tess-spoc (Phase 4). Caveat: marginal (SNR 7.6, FPP 0.026); follow-up photometry should precede heavy investment. confirmed in qlp (depth ratio nan, SNR nan)"
308015761,21,2458892.57804,0.00323,0,"all P > 22 d allowed (longer than TESS's span around the event); 1 allowed windows below that, e.g. 21.6-22.0 d; duration implies P >= 15 d for a central circular orbit",4747,463,4.63,0.9,7.5,0.0,1.003,12.45,0.92019045,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (flare_decay) by dBIC 17; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.069. Not a flux step: the in-transit level is below both local baselines in tesscut, tess-spoc (Phase 4). Caveat: marginal (SNR 10.3, FPP 0.069); follow-up photometry should precede heavy investment. confirmed in qlp (depth ratio 0.42, SNR 0.8)"
21442437,21,2458882.85762,0.00284,0,"all P > 724 d allowed (longer than TESS's span around the event); 73 allowed windows below that, e.g. 15.1-15.2, 15.4-15.5, 15.8-15.9, 16.1-16.2, 16.5-16.6 d; duration implies P >= 8 d for a central circular orbit",1923,252,3.76,0.99,5.0,0.0,1.05,11.32,0.9845925,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (flare_decay) by dBIC 13; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.093. Not a flux step: the in-transit level is below both local baselines in tesscut, tess-spoc (Phase 4). Caveat: marginal (SNR 7.6, FPP 0.093); follow-up photometry should precede heavy investment. confirmed in qlp (depth ratio nan, SNR nan)"
