level,tic,t0_a,dur_h_a,depth_ppm_a,snr_a,t0_b,dur_h_b,depth_ppm_b,snr_b,depth_ratio,dur_ratio,consistent,dt_d,n_alias_ge10d,phase4_a,phase4_b,new_in_s21,new_in_s48
candidates,16222047,1883.31,12,1319.34,12.0239,2613.11,12,1393.21,12.4368,1.05599,1,True,729.8,72,,maybe,,True
candidates,308015303,1893.88,3,6701.04,11.9895,2632.08,2,10484.5,18.1211,1.56461,0.666667,True,738.2,73,,,,
candidates,82203007,1897.02,12,1259.34,11.9611,2610.5,2,3336.3,25.0942,2.64924,0.166667,False,713.48,71,maybe,,True,
candidates,239205080,1876.21,24,2870.89,11.9366,2614.88,1,31284.1,36.905,10.897,0.0416667,False,738.67,73,,,,
candidates,166012677,1883.73,6,1986.35,11.8191,2610.51,2,5144.76,9.26941,2.59006,0.333333,False,726.78,72,,,,
candidates,147936815,1882.96,24,1208.87,11.7668,2621.28,8,4460.62,17.3118,3.68991,0.333333,False,738.32,73,,,,
candidates,298092113,1871.56,8,4455.13,11.7592,2614.57,12,5109.37,13.2628,1.14685,1.5,True,743.01,74,,drop,,True
candidates,219856738,1897.53,4,4399.21,11.5421,2611.3,3,2971.05,11.6471,0.67536,0.75,True,713.77,71,,,,
candidates,1043379,1887.11,4,6188.05,11.4162,2626.17,2,4160.04,10.1628,0.67227,0.5,True,739.06,73,,,,
candidates,230073588,1883.21,12,1093.9,11.393,2610.83,8,2908.4,17.9297,2.65874,0.666667,False,727.62,72,,,,
candidates,233537038,1897.53,4,4420.87,10.9959,2635.64,8,4099.93,9.31729,0.927403,2,True,738.11,73,,,,
candidates,307958752,1887.82,1.5,6435.07,10.9324,2635.01,1,7187.79,11.0444,1.11697,0.666667,True,747.19,74,,,,
candidates,55762554,1891.25,3,4767.58,10.9195,2627.02,3,3597.78,8.41223,0.754634,1,True,735.77,73,,,,
candidates,88021436,1875.34,3,2282.53,10.8531,2610.48,1.5,2561.96,7.41791,1.12242,0.5,True,735.14,73,,,,
candidates,160333759,1880.06,12,2757.8,10.7349,2620.11,3,43674.6,64.6585,15.8368,0.25,False,740.05,74,maybe,,True,
candidates,11893761,1871.05,1.5,11688.4,10.6771,2610.46,2,5764.3,14.5503,0.493164,1.33333,False,739.41,73,,,,
candidates,286728627,1883.13,2,6376.68,10.5374,2619.64,1,20698.3,16.0533,3.24594,0.5,False,736.51,73,,,,
candidates,293630845,1872.13,16,976.259,10.4888,2635.79,2,2831.83,8.14466,2.9007,0.125,False,763.66,76,,,,
candidates,87955955,1874.98,1,9710.32,10.417,2611.45,1.5,8084.07,10.2306,0.832524,1.5,True,736.47,73,,,,
