key,tic,trial,t0,depth_ppm,duration_h,expected_snr,recovered,plausible,detected,det_snr,dbic_alt,dbic_box,best_alt,shape_strict_box,edge_lc,edge_pixels,centroid,neighbours,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,fpp_value,nfpp_value,shape,duration,edge,pixels,asteroid,catalogue,fpp
219118012_10,219118012,10,2619.24,8139.46,2,18.9885,1,False,True,21.0647,116.064,-7.49466,flare_decay,False,True,True,True,True,True,1.47223,0.989691,,,True,False,True,True,,True,
219118012_11,219118012,11,2611.34,14689.1,4,40.0724,1,False,True,32.7908,536.766,517.117,step,True,False,True,True,True,True,2.05899,1.00626,,,True,True,True,True,,True,
219118012_12,219118012,12,2634.28,1577.41,1,3.03014,0,False,,,,,,,,,,,,,,,,,,,,,,
219118012_13,219118012,13,2630.57,4886.38,4,13.3302,1,True,True,12.0129,111.148,-0.97111,flare_decay,True,True,True,True,True,True,2.45393,1.03475,0.217448,4.15854e-07,True,True,True,True,,True,True
219118012_14,219118012,14,2617.68,30344.9,1,58.2914,1,False,True,61.4296,908.415,51.1541,flare_decay,True,True,True,True,True,True,1.32014,0.96828,,,True,False,True,True,,True,
219118012_15,219118012,15,2630.58,1032.31,16,5.66514,0,True,,,,,,,,,,,,,,,,,,,,,,
219118012_16,219118012,16,2633.87,4856.02,2,11.3285,1,False,True,10.6087,13.8654,-4.61079,flare_decay,True,True,True,True,True,True,1.90802,1.27252,,,True,False,True,True,,True,
219118012_17,219118012,17,2618.02,2478.14,24,14.4982,1,True,True,12.8795,62.3743,-4.43693,flare_decay,True,True,True,True,False,True,1.35713,0.829898,,,True,True,True,False,,True,
219118012_18,219118012,18,2611.59,2472.25,16,13.5672,1,True,True,11.6107,45.1766,7.16185,step,True,False,True,True,False,True,2.26607,1.32398,,,True,True,True,False,,True,
219118012_19,219118012,19,2633.06,10280,8,37.3984,1,True,True,34.8869,635.998,34.9375,flare_decay,True,True,True,True,True,True,1.32715,0.912288,,,True,True,True,True,,True,
219732404_0,219732404,0,2632.02,5081.42,8,39.6015,1,True,True,37.986,300.224,21.7129,flare_decay,True,True,True,True,True,True,1.17563,0.94566,,,True,True,True,True,True,True,
219732404_1,219732404,1,2628.46,618.135,24,8.71546,0,True,,,,,,,,,,,,,,,,,,,,,,
219732404_2,219732404,2,2619.64,10778.7,1,25.6794,1,False,True,26.331,119.28,5.22114,flare_decay,True,True,True,True,True,True,0.948674,0.942312,,,True,False,True,True,,True,
219732404_3,219732404,3,2618.94,4028.42,16,47.1753,1,True,True,41.1564,284.249,30.7185,flare_decay,True,True,True,True,True,True,0.922709,0.983389,,,True,True,True,True,True,True,
219732404_4,219732404,4,2612.01,961.923,16,11.2647,1,True,True,10.0706,-0.464303,-6.8287,step,False,True,True,True,True,True,0.927684,1.0762,,,False,True,True,True,,True,
