TIC ID,Sector,Transit Epoch (BJD),Transit Epoch error (d),Period (days),Period note,Depth (ppm),Depth error (ppm),Duration (hrs),Duration error (hrs),Planet Radius (R_Earth),Impact parameter,"Stellar radius (R_Sun, TIC)",Tmag,RUWE,Notes
165685135,48,2459618.71679,0.00475,0,"all P > 718 d allowed (longer than TESS's span around the event); 66 allowed windows below that, e.g. 17.6-17.7, 18.0-18.1, 18.5-18.6, 19.0-19.1, 19.5-19.6 d; duration implies P >= 147 d for a central circular orbit",2737,166,11.81,1.43,6.8,0.8,1.198,11.73,0.85074145,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (flare_decay) by dBIC 13; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.012. Not a flux step: the in-transit level is below both local baselines in qlp, tesscut, tess-spoc (Phase 4). confirmed in qlp (depth ratio 0.85, SNR 9.5)"
237109179,48,2459611.78192,0.00342,0,"all P > 1051 d allowed (longer than TESS's span around the event); 90 allowed windows below that, e.g. 159.2-159.3, 162.5-162.5, 221.2-224.7, 224.8-225.4, 233.6-233.7 d; duration implies P >= 15 d for a central circular orbit",1374,158,5.56,1.28,4.9,0.33,1.2,10.55,0.84456086,"Single transit. Passes 7-step vetting (tess-hunt Phase 3): transit preferred over the best non-transit model (step) by dBIC 14; centroid on target; dip present in raw pixels; no known asteroid; not a known EB/TOI; TRICERATOPS FPP 0.094. Not a flux step: the in-transit level is below both local baselines in spoc2min, qlp, tesscut, tess-spoc (Phase 4). Caveat: marginal (SNR 8.7, FPP 0.094); follow-up photometry should precede heavy investment. confirmed in spoc2min (depth ratio 1.11, SNR 9.1)"
