order,tic,role,category,rank_phase3,tier,tmag,rstar,t0_btjd,depth_ppm,t14_h,snr,fpp,rp_rj,rp_rj_diluted,ruwe,binarity_flags,n_sectors,n_spoc2min,n_tess-spoc,n_qlp,n_tesscut,n_second_dips,n_failing_dips,p_floor_d,allowed_fraction_logP,joint_periods,confirm,step,reasons,positives,period_summary
11,159159589,candidate,maybe,23,A,11.4915,0.946729,2619.6967,14185.134,4.1661751,41.0264,0.1398722,1.0972356,1.0972356,3.8760912,ruwe;gaia_nss;rv_variable,3,1,2,0,0,0,0,749.17744,0.35476417,,spoc2min:0.79/44.3;qlp:0.91/38.1;tesscut:0.87/42.4,spoc2min:+0.77/+0.79;qlp:+0.88/+0.94;tesscut:+0.83/+0.90;tess-spoc:+0.83/+0.87,"S1 FPP 0.14 >= 0.1; S2 host binarity: RUWE 3.88 > 1.4; Gaia non-single-star; Gaia RV variable (p=9.0e-06, amp 16.7 km/s)","confirmed in spoc2min (depth ratio 0.79, SNR 44.3)","all P > 749 d allowed (longer than TESS's span around the event); 122 allowed windows below that, e.g. 16.3-16.3, 16.7-16.7, 17.1-17.1, 17.5-17.5, 17.9-17.9 d; duration implies P >= 9 d for a central circular orbit"
12,29235065,candidate,maybe,26,B,12.1527,1.70188,2610.445,5020.8699,18.652898,8.12013,0.22718989,1.1734805,1.1734805,0.95015615,,2,0,2,0,0,0,0,739.68875,0.37614661,,qlp:0.35/5.5;tesscut:0.49/10.4,qlp:-1.06/-0.52;tesscut:-3.67/-0.09,S1 FPP 0.23 >= 0.1; S1 review notes: grazing/V-shaped: EB-like geometry,"confirmed in qlp (depth ratio 0.35, SNR 5.5)","all P > 740 d allowed (longer than TESS's span around the event); 61 allowed windows below that, e.g. 13.7-13.7, 14.0-14.0, 14.2-14.2, 14.5-14.5, 14.8-14.8 d; duration implies P >= 114 d for a central circular orbit"
13,95747180,candidate,maybe,27,A,12.6472,1.21839,2621.1348,8536.7155,4.6031321,13.0553,0.27757591,1.0954415,1.0954415,1.071538,,4,0,4,0,0,1,0,720.79726,0.29317317,80.473;40.237,qlp:1.06/13.8;tesscut:0.96/13.5,qlp:+0.73/+1.30;tesscut:+0.94/+0.87;tess-spoc:+0.77/+1.25,S1 FPP 0.28 >= 0.1,"confirmed in qlp (depth ratio 1.06, SNR 13.8); second transit candidate(s) in sector(s) 45; periods consistent with all: 80.47, 40.24 d","all P > 721 d allowed (longer than TESS's span around the event); 27 allowed windows below that, e.g. 27.2-27.3, 27.7-27.7, 34.3-34.7, 35.2-35.3, 40.2-40.3 d; duration implies P >= 8 d for a central circular orbit; periods consistent with the second dip(s): 80.47, 40.24 d"
14,198206622,candidate,maybe,28,A,12.0631,1.73539,2626.0758,8836.4541,7.4575688,19.1316,0.36175318,1.5874263,1.5874263,1.6009893,ruwe;gaia_nss;rv_variable,42,0,41,1,0,5,3,1036.728,0.039432303,202.663,qlp:0.95/23.1;tesscut:1.03/32.0,qlp:+0.72/+1.05;tesscut:+0.92/+1.26;tess-spoc:+1.04/+1.35,"S1 FPP 0.36 >= 0.1; S2 host binarity: RUWE 1.60 > 1.4; Gaia non-single-star (Orbital P=202.2 d); Gaia RV variable (p=0.0e+00, amp 31.3 km/s); S5 consistent-depth dips failing vetting in sector(s) 15, 75, 75","confirmed in qlp (depth ratio 0.95, SNR 23.1); second transit candidate(s) in sector(s) 26, 41, 56, 78, 86; periods consistent with all: 202.66 d","all P > 1037 d allowed (longer than TESS's span around the event); 103 allowed windows below that, e.g. 202.6-202.7, 270.2-270.2, 270.5-270.6, 326.0-326.0, 328.4-328.9 d; duration implies P >= 10 d for a central circular orbit; periods consistent with the second dip(s): 202.66 d"
15,376848623,candidate,drop,2,A,9.5717,3.56781,2633.1916,1002.1104,42.827896,14.6701,7.8714812e-14,1.0990488,1.0990488,3.160337,ruwe;comoving_companion;wide_binary_catalogue,35,0,34,1,0,0,0,1029.4377,0.056160263,,qlp:0.72/19.0;tesscut:0.68/16.0,qlp:+0.41/+1.70;tesscut:+0.52/+1.48;tess-spoc:+0.46/+1.41,"D2 very long and V-shaped/off-centre: variability or systematics signature; S1 review notes: very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; neighbour inside the target pixel; S2 host binarity: RUWE 3.16 > 1.4; co-moving Gaia companion(s) at 5.2"" (G=18.9); El-Badry+21 wide binary: 0.0"" (2470 AU)","confirmed in qlp (depth ratio 0.72, SNR 19.0)","all P > 1029 d allowed (longer than TESS's span around the event); 36 allowed windows below that, e.g. 254.2-254.2, 255.6-255.6, 257.4-264.1, 272.3-273.0, 353.1-353.2 d; duration implies P >= 195 d for a central circular orbit"
16,147971475,candidate,drop,3,A,12.3995,2.44325,2634.0341,2602.0952,56.008526,18.1723,1.2116974e-12,1.2127938,1.2127938,2.1610975,ruwe,7,0,7,0,0,0,0,950.47042,0.22229628,,qlp:0.36/5.9;tesscut:0.47/8.3,qlp:+0.88/+0.32;tesscut:+1.16/-0.62*;tess-spoc:+1.40/-1.39*,D2 very long and V-shaped/off-centre: variability or systematics signature; S1 review notes: very long dip: compare with stellar variability; centroid offset 0.76 px at 22 sigma; S2 host binarity: RUWE 2.16 > 1.4,"confirmed in qlp (depth ratio 0.36, SNR 5.9)","all P > 950 d allowed (longer than TESS's span around the event); 57 allowed windows below that, e.g. 55.9-56.0, 56.4-56.6, 60.1-60.7, 61.1-61.4, 72.1-72.2 d; duration implies P >= 1700 d for a central circular orbit"
17,252795236,candidate,drop,4,A,12.0611,0.806747,2614.5782,7937.9684,13.918277,15.0459,5.860082e-09,0.69943847,0.69943847,0.9661347,,3,0,3,0,0,0,1,753.01162,0.34244085,,qlp:nan/nan;tesscut:0.68/17.5,tesscut:+0.07/+0.94*;tess-spoc:+0.20/+1.28*,"D5 flux step, not a dip: in-transit level continues one side's baseline in tesscut (+0.07/+0.94 of the depth before/after), tess-spoc (+0.20/+1.28 of the depth before/after); S5 consistent-depth dips failing vetting in sector(s) 48","confirmed in qlp (depth ratio nan, SNR nan)","all P > 753 d allowed (longer than TESS's span around the event); 78 allowed windows below that, e.g. 22.8-22.8, 23.5-23.6, 24.3-24.4, 25.2-25.2, 26.1-26.1 d; duration implies P >= 675 d for a central circular orbit"
18,298092113,candidate,drop,7,A,11.9326,0.876594,2614.4752,4431.7775,19.667362,13.2628,8.8899646e-06,0.56786479,0.56786479,1.073615,,10,0,10,0,0,1,0,930.66841,0.17461332,918.939;459.469;306.313;131.277;102.104,qlp:0.18/1.3;tesscut:0.86/18.2,qlp:-0.18/-0.00;tesscut:+0.17/+1.26*;tess-spoc:+0.48/+1.53,"D1 not seen in qlp (depth ratio 0.18, expected SNR 31)","second transit candidate(s) in sector(s) 14; periods consistent with all: 918.94, 459.47, 306.31, 131.28, 102.10 d","all P > 931 d allowed (longer than TESS's span around the event); 107 allowed windows below that, e.g. 67.5-67.6, 67.6-67.6, 68.4-68.5, 68.6-68.6, 72.9-73.0 d; duration implies P >= 1461 d for a central circular orbit; periods consistent with the second dip(s): 918.94, 459.47, 306.31, 131.28, 102.10 d"
19,284993804,candidate,drop,8,B,12.6444,1.15829,2614.4373,6896.8394,25.711543,11.3565,1.0338944e-05,0.9360517,0.9360517,1.0886705,,6,0,6,0,0,0,0,731.53151,0.27823289,,qlp:-0.59/-6.1;tesscut:0.46/12.6,qlp:-0.56/-0.39;tesscut:-0.08/+0.61;tess-spoc:+0.39/+1.35,"D1 not seen in qlp (depth ratio -0.59, expected SNR 25)",,"all P > 732 d allowed (longer than TESS's span around the event); 26 allowed windows below that, e.g. 61.7-63.9, 75.1-76.4, 88.2-90.1, 99.8-102.7, 114.2-121.0 d; duration implies P >= 1354 d for a central circular orbit"
20,335661035,candidate,drop,10,B,12.8588,0.686947,2627.0978,9408.3734,60.437761,34.2405,0.00032482553,0.64839249,0.64839249,0.91320014,,13,0,6,6,1,0,1,942.63272,0.15216445,,qlp:-0.13/-6.0;tesscut:0.37/16.7,qlp:-0.05/-0.09;tesscut:-1.92/-0.16,"D1 not seen in qlp (depth ratio -0.13, expected SNR 56); D2 very long and V-shaped/off-centre: variability or systematics signature; S1 review notes: very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.68 px at 21 sigma; S5 consistent-depth dips failing vetting in sector(s) 73",,"all P > 943 d allowed (longer than TESS's span around the event); 48 allowed windows below that, e.g. 78.9-79.2, 79.4-79.6, 80.9-80.9, 88.0-89.0, 141.9-142.6 d; duration implies P >= 28204 d for a central circular orbit"
21,88704042,candidate,drop,11,A,7.0515,1.04517,2628.7593,211.53901,59.710053,13.5219,0.0003290085,0.14792434,0.14792434,0.9544814,,2,2,0,0,0,0,0,728.57076,0.38561419,,spoc2min:0.39/10.3;qlp:1.19/22.9;tesscut:2.48/33.8,spoc2min:+0.51/+0.42;qlp:+0.09/+1.88*;tesscut:+3.11/+4.63;tess-spoc:+2.14/+0.24*,D2 very long and V-shaped/off-centre: variability or systematics signature; S1 review notes: very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.78 px at 51 sigma,"confirmed in spoc2min (depth ratio 0.39, SNR 10.3)","all P > 729 d allowed (longer than TESS's span around the event); 65 allowed windows below that, e.g. 18.3-18.4, 18.8-18.9, 19.3-19.4, 19.8-19.9, 20.4-20.5 d; duration implies P >= 28869 d for a central circular orbit"
22,188506574,candidate,drop,14,B,11.4763,1.86562,2614.4138,1860.5285,23.839775,12.4116,0.013023023,0.78306682,0.78306682,1.2923592,,2,0,2,0,0,0,0,743.60854,0.37899669,,qlp:0.23/1.1;tesscut:1.33/21.4,qlp:+0.17/+0.70;tesscut:+0.12/+1.75*;tess-spoc:+0.38/+1.06,"D1 not seen in qlp (depth ratio 0.23, expected SNR 14)",,"all P > 744 d allowed (longer than TESS's span around the event); 59 allowed windows below that, e.g. 22.0-22.1, 22.7-22.8, 23.5-23.6, 24.2-24.3, 25.1-25.2 d; duration implies P >= 367 d for a central circular orbit"
23,27068699,candidate,drop,15,A,12.9421,0.668338,2618.7462,19891.733,5.564129,20.6827,0.01368103,0.91725468,0.91725468,0.98693097,wide_binary_catalogue,4,2,2,0,0,0,0,666.84787,0.29113739,,qlp:0.82/18.6;tesscut:-0.01/-0.3,qlp:+0.02/+1.33*;tesscut:-0.10/+1.93*;tess-spoc:-0.13/+1.84*,"D5 flux step, not a dip: in-transit level continues one side's baseline in qlp (+0.02/+1.33 of the depth before/after), tesscut (-0.10/+1.93 of the depth before/after), tess-spoc (-0.13/+1.84 of the depth before/after)","confirmed in qlp (depth ratio 0.82, SNR 18.6)","all P > 667 d allowed (longer than TESS's span around the event); 36 allowed windows below that, e.g. 26.7-26.8, 33.0-33.0, 33.3-33.9, 39.7-40.1, 52.1-53.6 d; duration implies P >= 45 d for a central circular orbit"
24,156372726,candidate,drop,16,A,12.3733,0.842015,2620.2877,2690.7899,46.176077,13.712,0.018180415,0.42502766,0.42502766,0.8988116,,3,0,3,0,0,0,0,749.61972,0.36049252,,qlp:-0.49/-7.5;tesscut:0.53/8.4,qlp:-0.68/-1.37;tesscut:+0.82/-2.45;tess-spoc:+0.93/-0.13*,"D1 not seen in qlp (depth ratio -0.49, expected SNR 20); S1 review notes: very long dip: compare with stellar variability",,"all P > 750 d allowed (longer than TESS's span around the event); 94 allowed windows below that, e.g. 16.3-16.3, 16.7-16.7, 17.1-17.1, 17.5-17.5, 17.9-18.0 d; duration implies P >= 18468 d for a central circular orbit"
25,165410329,candidate,drop,19,A,12.7545,0.643075,2618.9801,5707.5096,4.9388548,8.08365,0.10944324,0.47276185,0.47276185,1.0488949,,1,0,1,0,0,0,0,16.996374,0.017683773,,qlp:-0.00/-0.0;tesscut:0.40/4.4,qlp:+0.50/+0.49;tesscut:+0.34/+0.58;tess-spoc:+0.74/+1.10,"D1 not seen in qlp (depth ratio -0.00, expected SNR 10); S1 FPP 0.11 >= 0.1; S1 review notes: grazing/V-shaped: EB-like geometry",,all P > 17 d allowed (longer than TESS's span around the event); duration implies P >= 19 d for a central circular orbit
26,85911158,candidate,drop,22,A,12.8202,1.11295,2628.1848,4915.5738,30.998115,9.72865,0.13699552,0.75931195,0.75931195,0.9712553,,6,0,6,0,0,0,0,757.33433,0.24082049,,qlp:7.63/47.1;tesscut:1.30/14.6,qlp:-5.46/+10.06*;tesscut:+0.05/+3.01*;tess-spoc:+0.97/+1.25,D2 very long and V-shaped/off-centre: variability or systematics signature; S1 FPP 0.14 >= 0.1; S1 review notes: very long dip: compare with stellar variability; grazing/V-shaped: EB-like geometry; centroid offset 0.70 px at 16 sigma,"confirmed in qlp (depth ratio 7.63, SNR 47.1)","all P > 757 d allowed (longer than TESS's span around the event); 25 allowed windows below that, e.g. 37.9-38.1, 44.5-45.2, 75.7-77.4, 88.8-90.4, 102.0-103.8 d; duration implies P >= 1409 d for a central circular orbit"
27,233575173,candidate,drop,24,A,12.1023,2.11708,2631.7816,2971.8496,28.975737,14.818,0.14255374,1.1230734,1.1230734,0.9729581,,40,0,23,13,4,1,1,1031.1979,0.036774869,,qlp:0.73/12.5;tesscut:0.78/14.6,qlp:+0.90/+1.03;tesscut:+0.97/+0.98;tess-spoc:+1.12/+0.95,D4 second dip(s) inconsistent with every allowed period; S1 FPP 0.14 >= 0.1; S5 consistent-depth dips failing vetting in sector(s) 73,"confirmed in qlp (depth ratio 0.73, SNR 12.5); second transit candidate(s) in sector(s) 74","all P > 1031 d allowed (longer than TESS's span around the event); 44 allowed windows below that, e.g. 318.0-318.1, 343.8-343.8, 358.0-359.7, 365.8-366.9, 373.1-373.9 d; duration implies P >= 457 d for a central circular orbit"
28,55779787,candidate,drop,25,B,12.4953,0.963348,2610.9694,4455.0955,10.319455,7.8747,0.19403705,0.62570436,0.62570436,1.1175374,,6,0,6,0,0,0,0,899.58695,0.23381969,,qlp:-0.52/-4.0;tesscut:0.26/3.4,qlp:-1.05/+0.84;tesscut:-1.55/+0.38;tess-spoc:-2.26/+0.78,"D1 not seen in qlp (depth ratio -0.52, expected SNR 15); S1 FPP 0.19 >= 0.1; S1 review notes: grazing/V-shaped: EB-like geometry",,"all P > 900 d allowed (longer than TESS's span around the event); 72 allowed windows below that, e.g. 32.3-32.4, 35.5-35.6, 39.5-39.5, 44.5-44.5, 48.3-48.3 d; duration implies P >= 80 d for a central circular orbit"
29,298663873,control,maybe,,B,8.56854,1.62762,2611.2319,2559.4258,23.266012,27.0223,9.7699626e-15,0.80127532,0.80127532,0.983225,blend_1px;wds,41,40,1,0,0,2,1,1051.654,0.034153882,260.151,spoc2min:1.55/134.1;qlp:1.88/167.5;tesscut:1.81/119.6,spoc2min:+1.87/+1.95;qlp:+1.92/+1.78;tesscut:+1.99/+1.71;tess-spoc:+2.10/+1.84,S1 review notes: neighbour inside the target pixel; S5 consistent-depth dips failing vetting in sector(s) 78,"confirmed in spoc2min (depth ratio 1.55, SNR 134.1); second transit candidate(s) in sector(s) 19, 57; periods consistent with all: 260.15 d","all P > 1052 d allowed (longer than TESS's span around the event); 47 allowed windows below that, e.g. 259.9-260.3, 260.7-260.9, 328.1-328.2, 378.2-378.2, 384.3-385.1 d; duration implies P >= 437 d for a central circular orbit; periods consistent with the second dip(s): 260.15 d"
