name,tic,disposition,period_d,depth_ppm,checks,confidence,evidence,in_lc_sample,sectors
CTOI 231714759.02,231714759,PC,5.45972,413268,gaia_orbit;odd_even,high,Gaia eclipsing binary (photometric): P = 5.4612 d | odd and even transits differ by 490.9 sigma (246391 vs 148198 ppm),True,"1,28,68"
CTOI 233126177.01,233126177,PC,65.945,19000,gaia_orbit,high,Gaia NSS SB1 orbit P = 66.441 d; companion 0.17 M_sun (SB1 mass function (sin i = 1)),True,"14,15,16,17,18,19,20,21,22,23,24,25,26,41,48,49,51,52,53,54,55,56,57,58,59,73,75,76,77,78,79,80,81,82,83,84,85,86"
CTOI 235009317.01,235009317,PC,7.45833,22028.8,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.457 d; companion 0.59 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68,102,103,104,105"
CTOI 235009317.02,235009317,PC,7.45278,3441.28,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.457 d; companion 0.59 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68,102,103,104,105"
CTOI 237332597.01,237332597,PC,2.92986,9505.26,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 2.927 d; companion 0.50 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 410.9 sigma (22866 vs 12983 ppm),True,"1,28,68"
CTOI 237332597.02,237332597,PC,2.93056,129270,gaia_orbit,high,Gaia NSS SB1 orbit P = 2.927 d; companion 0.50 M_sun (SB1 mass function (sin i = 1)),True,"1,28,68"
CTOI 237342298.01,237342298,PC,2.69208,31191.4,gaia_orbit,high,Gaia NSS SB1 orbit P = 2.692 d; companion 0.23 M_sun (SB1 mass function (sin i = 1)),True,"3,4,5,30,31,97"
CTOI 25226885.01,25226885,PC,1.63125,883417,gaia_orbit;odd_even,high,Gaia eclipsing binary (photometric): P = 1.6321 d | odd and even transits differ by 106.7 sigma (71876 vs 51885 ppm),True,"1,28"
CTOI 25226885.02,25226885,PC,1.63056,984582,gaia_orbit;odd_even,high,Gaia eclipsing binary (photometric): P = 1.6321 d | odd and even transits differ by 23.4 sigma (12435 vs 7641 ppm),True,"1,28"
CTOI 257483992.01,257483992,PC,8.78671,22753,gaia_orbit,high,Gaia NSS SB1 orbit P = 8.788 d; companion 0.21 M_sun (SB1 mass function (sin i = 1)),True,"3,30"
CTOI 264485594.01,264485594,PC,7.17004,7160,gaia_orbit,high,Gaia NSS SB1 orbit P = 7.168 d; companion 0.65 M_sun (SB1 mass function (sin i = 1)),True,"6,32"
CTOI 265489698.01,265489698,PC,1.15625,84032.3,gaia_orbit;centroid,high,Gaia eclipsing binary (photometric): P = 1.1555 d | the star's image shifts during transit (5.2 sigma; the dimming source would be ~10117 arcsec away),True,"1,27,67"
CTOI 265489698.02,265489698,PC,1.15347,21857.7,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 1.1555 d,True,"1,27,67"
CTOI 266996791.01,266996791,PC,2.12639,860077,gaia_orbit;odd_even,high,Gaia eclipsing binary (photometric): P = 2.1237 d | odd and even transits differ by 1129.2 sigma (224239 vs 486544 ppm),True,"1,28,68"
CTOI 266996791.02,266996791,PC,2.12292,119055,gaia_orbit,high,Gaia eclipsing binary (photometric): P = 2.1237 d,True,"1,28,68"
CTOI 268290940.01,268290940,PC,9.30672,43121.8,gaia_orbit;odd_even,high,Gaia NSS SB2 orbit P = 9.305 d; companion 1.24 M_sun (SB2 mass ratio (K1/K2)) | odd and even transits differ by 275.2 sigma (3855 vs 16163 ppm),True,"7,8,9,34,35,36,61,62,88,89"
CTOI 272357134.01,272357134,PC,4.1875,1354.4,gaia_orbit;odd_even,high,Gaia NSS SB1 orbit P = 4.197 d; companion 0.24 M_sun (SB1 mass function (sin i = 1)) | odd and even transits differ by 5.8 sigma (177 vs 131 ppm),True,"1,2,3,4,5,6,7,8,9,10,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63,64,65,66,67,87,89,90,93,94,96,97,98"
