sector,t0,depth_ppm,duration_h,expected_snr,measured_snr,recovered,top_ranked,det_t0,det_depth_ppm,det_duration_h,n_events
18,1809.3226930044086,50.0,1.0,0.38896797638975616,1.4645333749884648,False,False,nan,nan,nan,0
73,3296.9689388872753,50.0,1.0,0.43105193181759055,1.2793452977689197,False,False,nan,nan,nan,0
52,2740.5515402375604,50.0,1.0,0.3890096271109546,1.1846478837454104,False,False,nan,nan,nan,0
18,1807.690775307184,50.0,1.0,0.38896797638975616,0.6361050231698863,False,False,nan,nan,nan,0
23,1931.4700638967042,50.0,1.0,0.42372126797214205,1.616164591459329,False,False,nan,nan,nan,0
55,2823.6458423507133,50.0,1.0,0.37070866158070476,-0.5439638702210133,False,False,nan,nan,nan,0
77,3419.270805720657,50.0,1.0,0.43920666477905823,0.3440344417937716,False,False,nan,nan,nan,0
75,3362.487043885523,50.0,1.0,0.22204914619071425,0.7648067794257557,False,False,nan,nan,nan,1
54,2773.083659472587,50.0,1.0,0.37435897821720715,0.7287920269431502,False,False,nan,nan,nan,0
81,3517.138417864965,50.0,1.0,0.47239462219256306,1.647190971448301,False,False,nan,nan,nan,1
54,2779.130884972325,50.0,1.0,0.37435897821720715,-1.381200915242172,False,False,nan,nan,nan,0
22,1924.7727362706946,50.0,1.0,0.4073724794748468,1.4444278675174897,False,False,nan,nan,nan,0
78,3446.053196797218,50.0,1.0,0.1657695811205253,1.6044565794521206,False,False,nan,nan,nan,0
50,2688.261865655692,50.0,1.0,0.4113219867573278,0.4491576050937256,False,False,nan,nan,nan,0
56,2837.4928615654208,50.0,1.0,0.4427291653482322,2.441076604668331,False,False,nan,nan,nan,0
52,2725.7777515784655,50.0,1.0,0.3890096271109546,0.619047115442766,False,False,nan,nan,nan,0
18,1804.8186038943122,50.0,1.0,0.38896797638975616,1.1618225549793995,False,False,nan,nan,nan,0
82,3535.0008169190164,50.0,1.0,0.3938306977021253,1.7415522948334639,False,False,nan,nan,nan,0
81,3528.382804070861,50.0,1.0,0.47239462219256306,0.7141171890667407,False,False,nan,nan,nan,1
26,2026.2853233487865,50.0,1.0,0.3537027823140652,1.6880733772403425,False,False,nan,nan,nan,0
22,1920.7893383059459,50.0,1.0,0.4073724794748468,0.16028627611275728,False,False,nan,nan,nan,0
74,3322.771571678191,50.0,1.0,0.4023491874234903,1.3700871641551375,False,False,nan,nan,nan,0
16,1761.861039653443,50.0,1.0,0.41956801376108266,1.5339418183696072,False,False,nan,nan,nan,0
52,2741.1682143250005,50.0,1.0,0.3890096271109546,1.632779426520049,False,False,nan,nan,nan,0
74,3334.621576658708,50.0,1.0,0.4023491874234903,0.3849253915991638,False,False,nan,nan,nan,0
78,3437.9128020954363,50.0,1.0,0.1657695811205253,-0.4218476575076265,False,False,nan,nan,nan,0
49,2649.3653854941704,50.0,1.0,0.4332855080200618,1.3755460827694659,False,False,nan,nan,nan,0
54,2770.9878280827174,50.0,1.0,0.37435897821720715,0.4566214683362875,False,False,nan,nan,nan,0
56,2829.442973420069,50.0,1.0,0.4427291653482322,0.7489772654355908,False,False,nan,nan,nan,0
77,3417.8749461793363,50.0,1.0,0.43920666477905823,1.8366052968860869,False,False,nan,nan,nan,0
84,3605.0872351400294,50.0,1.0,0.4076101427092154,0.39007545039586955,False,False,nan,nan,nan,0
49,2663.689221059829,50.0,1.0,0.4332855080200618,2.6546899153831083,False,False,nan,nan,nan,0
51,2701.3107037088257,50.0,1.0,0.4284729477948758,1.9041768670422563,False,False,nan,nan,nan,0
83,3568.782333875712,50.0,1.0,0.4407002967004159,0.4947917426737168,False,False,nan,nan,nan,0
16,1748.607107629238,50.0,1.0,0.41956801376108266,1.6479269266149383,False,False,nan,nan,nan,0
79,3456.3894691654473,50.0,1.0,0.4025281026509916,-0.3205258180883723,False,False,nan,nan,nan,0
53,2747.1265977538387,50.0,1.0,0.3161684423122095,2.074869047333294,False,False,nan,nan,nan,0
74,3325.479909491314,50.0,1.0,0.4023491874234903,0.9666183583951772,False,False,nan,nan,nan,0
41,2425.765739499005,50.0,1.0,0.40900443921473684,1.0303163180477177,False,False,nan,nan,nan,0
56,2843.8469138477044,50.0,1.0,0.4427291653482322,2.6160074239190805,False,False,nan,nan,nan,0
84,3593.820781053073,50.0,1.0,0.4076101427092154,1.5123424603593276,False,False,nan,nan,nan,0
21,1893.4528990865201,50.0,1.0,0.41807155506983207,1.220147968914524,False,False,nan,nan,nan,0
60,2957.4439599964976,50.0,1.0,0.47793080099448065,1.2212899598402267,False,False,nan,nan,nan,0
18,1797.21317060468,50.0,1.0,0.38896797638975616,1.4884668321349617,False,False,nan,nan,nan,0
78,3449.3699183402746,50.0,1.0,0.1657695811205253,0.22449662529111772,False,False,nan,nan,nan,0
52,2739.590417675593,50.0,1.0,0.3890096271109546,0.5769684552473375,False,False,nan,nan,nan,0
81,3515.6925860056913,50.0,1.0,0.47239462219256306,1.452371520000415,False,False,nan,nan,nan,1
83,3566.8045848534994,50.0,1.0,0.4407002967004159,0.7150361063974089,False,False,nan,nan,nan,0
24,1974.1624642862375,50.0,1.0,0.42182933450772564,-0.4151096232192615,False,False,nan,nan,nan,0
60,2942.121792718678,50.0,1.0,0.47793080099448065,2.672630915627782,False,False,nan,nan,nan,0
80,3484.6869713015585,50.0,1.0,0.44132369366835356,1.4267936600340432,False,False,nan,nan,nan,0
79,3452.6880386079947,50.0,1.0,0.4025281026509916,1.0285848322429127,False,False,nan,nan,nan,0
79,3472.1354841947873,50.0,1.0,0.4025281026509916,2.248428106172282,False,False,nan,nan,nan,0
78,3446.4226471176753,50.0,1.0,0.1657695811205253,0.26922598395983904,False,False,nan,nan,nan,0
53,2761.880857445658,50.0,1.0,0.3161684423122095,0.5492348224684255,False,False,nan,nan,nan,0
26,2029.8797850472436,50.0,1.0,0.3537027823140652,2.479791546000871,False,False,nan,nan,nan,0
56,2837.9150776920756,50.0,1.0,0.4427291653482322,2.166161022550825,False,False,nan,nan,nan,0
