key,tic,sector,role,phase4,phase5,rank_change,verdict,serious,minor,ap_worst_sigma,gp_depth_ppm,gp_snr,phase3_depth_ppm,phase3_snr,star_class,radius_rsun,teff,distance_pc,radius_source,rp_rj,ruwe,binarity_flags,variability_flags,P_circ_med,frac_P_allowed,e_min_known
s0048_val_229940491_2635.5400,229940491,48,validation,,,,doubtful,binarity,evolved;eccentric,0.88302,6345.5,12.733,6342.1,18.287,subgiant,1.515,5560.1,338.43,Gaia FLAME,1.1741,0.85438,rv_variable,,6.187,,37.46:0.54
s0048_val_229951289_2611.1400,229951289,48,false_positive,,,,doubtful,gp;physical,star_unverified;variable,0.8458,496.68,2.1849,520.02,16.901,dwarf,0.98476,,,TIC,0.21852,,,vsx,13033,,13.31:0.98
s0048_val_230084146_2611.3600,230084146,48,validation,,,,plausible,,star_unverified;variable,0.53519,6452.1,8.6393,6890.3,9.6877,dwarf,0.65265,,153.37,TIC,0.52718,1.0667,,gaia_variable;vsx,14.888,,12.32:0.24
s0048_val_233173039_2620.4600,233173039,48,validation,,,,plausible,,gp_weak,0.1388,4831.6,6.8053,5030.3,9.2435,dwarf,0.93356,5814.2,500.72,Gaia FLAME,0.64431,1.0037,,,39.43,,25.06:0.15
s0048_val_258389327_2620.9700,258389327,48,validation,,,,doubtful,binarity,eccentric,0.11891,8990.4,13.441,9046.7,18.073,dwarf,1.7045,6343.4,558.97,Gaia FLAME,1.5776,1.2872,rv_variable,,1.8177,,26.55:0.75
s0048_val_269701147_2612.0300,269701147,48,validation,,,,plausible,,eccentric,0.95171,1626.3,7.4699,777.17,14.638,dwarf,0.94643,5364.6,53.485,Gaia FLAME,0.25675,1.0476,,,188.61,,28.58:0.55
s0048_val_270494650_2610.8500,270494650,48,validation,,,,plausible,,gp_weak,0.92317,2463.5,6.8572,2589.1,9.5975,dwarf,1.055,5819.1,312.28,Gaia FLAME,0.52236,1.1588,,,43.7,,60.35:0.23
s0048_val_287080092_2632.8700,287080092,48,validation,,,,strong,,,0.37381,548.49,7.8786,584.55,10.502,dwarf,1.3333,5956.7,113.52,Gaia FLAME,0.31368,0.90384,,,58.546,,37.47:0.19
s0048_val_288636342_2618.6400,288636342,48,validation,,,,doubtful,gp,eccentric,0.12716,1322.4,3.3278,1231.6,7.5828,dwarf,1.4791,6262.8,336.67,Gaia FLAME,0.50512,0.99055,,,67.041,,17.73:0.42
s0048_val_288636342_2620.8700,288636342,48,validation,,,,strong,,,0.88779,2908.2,9.5696,2873.7,16.802,dwarf,1.4791,6262.8,336.67,Gaia FLAME,0.77157,0.99055,,,30.848,,32.21:0.06
s0048_val_298663873_2611.4300,298663873,48,validation,,,,plausible,,aperture_marginal;evolved,4.5545,5135.7,15.935,2559.4,27.022,subgiant,1.6278,5674.3,116.52,Gaia FLAME,0.80139,0.98323,,,449.94,,260.17:0.18
s0048_val_308073360_2613.3800,308073360,48,validation,,,,plausible,,evolved;companion,1.5493,7503.6,12.006,7279.7,19.982,subgiant,1.2989,5585.6,324.98,Gaia FLAME,1.0784,1.4353,ipd_multi_peak;ruwe,,22.472,,11.89:0.27
s0048_val_353807936_2613.1400,353807936,48,validation,,,,strong,,,1.2776,4135.2,7.8067,4258.3,11.604,dwarf,1.2355,5948.1,576.93,Gaia FLAME,0.78457,1.1421,,,47.529,,34.28:0.10
s0048_val_356736743_2628.1500,356736743,48,validation,,,,strong,,,0.8853,7784.2,10.097,7847.4,11.511,dwarf,1.0603,5753.4,497.43,Gaia FLAME,0.91398,1.1117,,,10.92,,24.08:0.27
s0048_val_420112217_2628.9000,420112217,48,validation,,,,plausible,,evolved,0.72076,5038.2,8.4289,4957.9,9.4736,subgiant,1.2244,5746.4,486.25,Gaia FLAME,0.83894,1.107,,,25.528,,21.56:0.09
s0048_val_458481611_2616.5000,458481611,48,validation,,,,strong,,,0.61224,7671.3,10.233,7668.9,14.791,dwarf,0.7952,4927,319.25,Gaia FLAME,0.67764,1.0346,,,59.46,,61.32:0.11
s0048_val_459969957_2620.4200,459969957,48,validation,,,,plausible,,evolved;variable,0.62315,12878,16.248,12857,43.086,subgiant,0.7789,4780.7,178.63,Gaia FLAME,0.85943,0.98694,,vsx,18.209,,19.32:0.05
