key,tic,t0,tier,rank,snr,depth_ppm,duration_h,tmag,rstar,mstar,ra,dec,is_candidate,is_validation,toi_phase2,lc_status,shape,shape_strict_box,dbic_alt,dbic_box,best_alt,fit_t0,fit_rp,fit_t14_h,fit_b,fit_depth_ppm,grazing,duration,duration_too_long,t_min_h,p_b0_d,duration_note,edge_lc,near_edge,edge_resolved,edge_pixels,edge,pix_status,pixels,pixel_confirm,pixel_snr_ratio,pixel_depth_ratio,centroid,centroid_offset_px,centroid_sigma,diff_snr,centroid_inconclusive,neighbours,neighbours_failing,n_unresolved,ap_snr,asteroid,asteroid_hits,catalogue,known,eb,eb_overridden,toi_fp,tois,toi_disp,ctois,fpp_status,fpp,fpp_value,nfpp_value,p_lo,p_hi,bic_transit,bic_box,bic_ramp,bic_step,bic_flare_decay
286728640_2619.3400,286728640,2619.3,A,8879,9.3643,2422.3,4,11.865,1.0354,1.05,143.14,22.354,True,False,,ok,False,False,-4.2485,-8.9709,flare_decay,2619.3,0.0494,4.3083,0.0043598,2957.3,False,True,False,2.6341,10.932,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-8.9709,47.732,18.761,-4.2485
219844898_2625.7100,219844898,2625.7,A,8886,9.3527,4526.3,6,12.82,0.50023,0.49828,255,68.392,True,False,,ok,False,False,-8.9679,-2.646,ramp,2626.2,0.074472,0.35594,0.67409,5893.5,False,False,False,1.6704,,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-2.646,-8.9679,-7.816,-4.265
149369271_2619.2200,149369271,2619.2,A,8888,9.3497,2047,1.5,10.395,1.8513,1.32,139.21,24.775,True,False,,ok,False,False,-0.20539,-0.85861,flare_decay,2619.2,0.045158,1.9287,0.5615,2281.8,False,False,False,4.3478,0.15378,,False,True,False,,False,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-0.85861,89.237,63.891,-0.20539
70722031_2630.1200,70722031,2630.1,A,8890,9.3447,5440.9,2,12.397,1.5806,1.16,156.62,16.639,True,False,,ok,True,True,14.198,-5.4198,flare_decay,2630.1,0.071528,2.0893,0.085804,6189.1,False,False,False,3.9729,0.16249,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-5.4198,53.91,41.408,14.198
308027799_2631.8100,308027799,2631.8,A,8893,9.3408,5600.7,1,12.005,1.8501,1.09,150.26,25.456,True,False,,ok,False,False,-9.3398,0.49032,flare_decay,2631.8,0.074628,2.2729,0.86083,4980.2,False,False,False,4.7625,0.17625,,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,0.49032,90.987,51.206,-9.3398
236792182_2633.6300,236792182,2633.6,A,8895,9.3393,3492.3,16,12.203,1.721,1.11,283.49,56.619,True,False,,ok,False,False,-188.27,-25.79,step,2633.4,0.055247,27.77,0.013377,3698.5,False,True,False,4.3234,663.58,,True,False,False,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-25.79,361.54,-188.27,-8.2103
27069134_2629.0900,27069134,2629.1,A,8912,9.3208,4503.5,1,11.608,0.74741,0.83,152.07,19.3,True,False,,ok,True,True,21.437,-1.9501,flare_decay,2629.1,0.06157,1.3702,0.00024373,4593.3,False,False,False,2.0802,0.6939,,True,True,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-1.9501,60.428,31.523,21.437
86019349_2629.2100,86019349,2629.2,A,8913,9.3206,3992.4,1.5,11.51,1.2671,0.95,139.16,23.674,True,False,,ok,True,True,18.575,2.133,flare_decay,2629.2,0.073943,2.7638,0.91033,4433.4,True,True,False,3.4115,1.2857,grazing,True,False,False,False,True,ok,False,False,-0.13795,-0.10577,True,,,-9.1932,True,True,,0,-1.2857,True,,True,False,False,False,False,,,,not run,,,,,,0,2.133,89.677,53.125,18.575
95312806_2618.1300,95312806,2618.1,A,8926,9.3092,4083.7,2,12.032,2.1093,1.35,153.32,23.404,True,False,,ok,True,True,14.222,8.4922,flare_decay,2618.1,0.36738,3.0642,1.2779,5476.7,True,True,False,6.4368,0.18674,grazing,True,False,True,False,True,ok,False,False,-0.071419,-0.057949,True,,,1.7086,True,True,,0,-0.66485,True,,True,False,False,False,False,,,,not run,,,,,,0,8.4922,75.346,43.084,14.222
95338795_2616.4200,95338795,2616.4,A,8932,9.3026,4374.6,6,12.857,0.89093,0.97,153.4,23.771,True,False,,ok,False,False,1.6457,-6.4062,step,2616.4,0.063273,7.1933,5.8252e-06,4850.7,False,True,False,2.3579,71.007,,True,False,True,,True,not run,,,,,,,,,,,,,,,,,,,,,,,,not run,,,,,,0,-6.4062,50.839,1.6457,14.45
